NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_cpi,2025,20.4,yy_cpi_res,pct
yy_cpi,2026,16.3,yy_cpi_res,pct
yy_cpi,2027,14.3,yy_cpi_res,pct
yy_cpi,2028,12.3,yy_cpi_res,pct
yy_cpi,2029,10.56,yy_cpi_res,pct
yy_cpi,2030,10.3,yy_cpi_res,pct
yy_pce_r,2025,2,yy_pce_r_res,pct
yy_pce_r,2026,2.5,yy_pce_r_res,pct
yy_pce_r,2027,3.3,yy_pce_r_res,pct
yy_pce_r,2028,3.5,yy_pce_r_res,pct
yy_pce_r,2029,4.5,yy_pce_r_res,pct
yy_pce_r,2030,4.2,yy_pce_r_res,pct
yy_gce_r,2025,3.5,yy_gce_r_res,pct
yy_gce_r,2026,4,yy_gce_r_res,pct
yy_gce_r,2027,6,yy_gce_r_res,pct
yy_gce_r,2028,5.3,yy_gce_r_res,pct
yy_gce_r,2029,4.1,yy_gce_r_res,pct
yy_gce_r,2030,3.5,yy_gce_r_res,pct
yy_gfcf_r,2025,2,yy_gfcf_r_res,pct
yy_gfcf_r,2026,2.2,yy_gfcf_r_res,pct
yy_gfcf_r,2027,2.6,yy_gfcf_r_res,pct
yy_gfcf_r,2028,2.7,yy_gfcf_r_res,pct
yy_gfcf_r,2029,2.8,yy_gfcf_r_res,pct
yy_gfcf_r,2030,3,yy_gfcf_r_res,pct
yy_stk_r,2025,0,yy_stk_r_res,
yy_stk_r,2026,0,yy_stk_r_res,
yy_stk_r,2027,0,yy_stk_r_res,
yy_stk_r,2028,0,yy_stk_r_res,
yy_stk_r,2029,0,yy_stk_r_res,
yy_stk_r,2030,0,yy_stk_r_res,
yy_xgs_r,2025,4.5,yy_xgs_r_res,pct
yy_xgs_r,2026,4,yy_xgs_r_res,pct
yy_xgs_r,2027,6.5,yy_xgs_r_res,pct
yy_xgs_r,2028,7.5,yy_xgs_r_res,pct
yy_xgs_r,2029,7,yy_xgs_r_res,pct
yy_xgs_r,2030,6.5,yy_xgs_r_res,pct
yy_mgs_r,2025,6,yy_mgs_r_res,pct
yy_mgs_r,2026,5.5,yy_mgs_r_res,pct
yy_mgs_r,2027,5.9,yy_mgs_r_res,pct
yy_mgs_r,2028,6.9,yy_mgs_r_res,pct
yy_mgs_r,2029,7.5,yy_mgs_r_res,pct
yy_mgs_r,2030,6,yy_mgs_r_res,pct
yy_partrate,2025,79.23542865,yy_partrate_res,
yy_partrate,2026,78.89250637,yy_partrate_res,
yy_partrate,2027,78.52788469,yy_partrate_res,
yy_partrate,2028,78.14280738,yy_partrate_res,
yy_partrate,2029,77.75013255,yy_partrate_res,
yy_partrate,2030,77.7,yy_partrate_res,
yy_urate,2024,19,yy_urate_res,
yy_urate,2025,18.6,yy_urate_res,
yy_urate,2026,18.5,yy_urate_res,
yy_urate,2027,18.4,yy_urate_res,
yy_urate,2028,18.2,yy_urate_res,
yy_urate,2029,17.9,yy_urate_res,
yy_urate,2030,17.8,yy_urate_res,
yy_xr,2025,912,yy_xr_res,
yy_xr,2026,917.95,yy_xr_res,
yy_xr,2027,930.4,yy_xr_res,
yy_xr,2028,947.2,yy_xr_res,
yy_xr,2029,961.9,yy_xr_res,
yy_xr,2030,985,yy_xr_res,
yy_xr_2,2024,913.3384991,yy_xr_2_res,
yy_xr_2,2025,962.796975,yy_xr_2_res,
yy_xr_2,2026,980.1362392,yy_xr_2_res,
yy_xr_2,2027,997.3539319,yy_xr_2_res,
yy_xr_2,2028,1017.409133,yy_xr_2_res,
yy_xr_2,2029,1037.031745,yy_xr_2_res,
yy_xr_2,2030,1060,yy_xr_2_res,
