NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_rp_e,2025,19,yy_rp_e_res,
yy_rp_e,2026,18,yy_rp_e_res,
yy_rp_e,2027,18,yy_rp_e_res,
yy_rp_e,2028,16,yy_rp_e_res,
yy_rp_e,2029,15,yy_rp_e_res,
yy_rp_e,2030,14.75,yy_rp_e_res,
yy_r3m_e,2025,18.5,yy_r3m_e_res,
yy_r3m_e,2026,17,yy_r3m_e_res,
yy_r3m_e,2027,16,yy_r3m_e_res,
yy_r3m_e,2028,14,yy_r3m_e_res,
yy_r3m_e,2029,13,yy_r3m_e_res,
yy_r3m_e,2030,12.5,yy_r3m_e_res,
yy_cpi_e,2025,17.1,yy_cpi_e_res,pct
yy_cpi_e,2026,15.9,yy_cpi_e_res,pct
yy_cpi_e,2027,13.2,yy_cpi_e_res,pct
yy_cpi_e,2028,10.1,yy_cpi_e_res,pct
yy_cpi_e,2029,9.5,yy_cpi_e_res,pct
yy_cpi_e,2030,101.1,yy_cpi_e_res,pct
yy_xr_e,2025,912,yy_xr_e_res,
yy_xr_e,2026,918,yy_xr_e_res,
yy_xr_e,2027,937.9,yy_xr_e_res,
yy_xr_e,2028,988.6,yy_xr_e_res,
yy_xr_e,2029,990,yy_xr_e_res,
yy_xr_e,2030,1020.2,yy_xr_e_res,
