NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_xg_p,2024,23.67316858,yy_xg_p_res,pct
yy_xg_p,2025,-3.266815476,yy_xg_p_res,pct
yy_xg_p,2026,2.849544058,yy_xg_p_res,pct
yy_xg_p,2027,1.095662269,yy_xg_p_res,pct
yy_xg_p,2028,12.39437697,yy_xg_p_res,pct
yy_xg_p,2029,4.801714997,yy_xg_p_res,pct
yy_xg_p,2030,4,yy_xg_p_res,pct
yy_mg_p,2024,23.27076549,yy_mg_p_res,pct
yy_mg_p,2025,-2.497488616,yy_mg_p_res,pct
yy_mg_p,2026,-0.537694258,yy_mg_p_res,pct
yy_mg_p,2027,-3.903832764,yy_mg_p_res,pct
yy_mg_p,2028,4.591576857,yy_mg_p_res,pct
yy_mg_p,2029,-1.129243744,yy_mg_p_res,pct
yy_mg_p,2030,3,yy_mg_p_res,pct
yy_mgs_p,2025,-2.08852448,yy_mgs_p_res,pct
yy_mgs_p,2026,2.363133433,yy_mgs_p_res,pct
yy_mgs_p,2027,-0.377332197,yy_mgs_p_res,pct
yy_mgs_p,2028,9.862515772,yy_mgs_p_res,pct
yy_mgs_p,2029,2.924377523,yy_mgs_p_res,pct
yy_mgs_p,2030,4,yy_mgs_p_res,pct
yy_xgs_p,2025,-2.49756225,yy_xgs_p_res,pct
yy_xgs_p,2026,-0.571675585,yy_xgs_p_res,pct
yy_xgs_p,2027,-3.98610322,yy_xgs_p_res,pct
yy_xgs_p,2028,4.637319574,yy_xgs_p_res,pct
yy_xgs_p,2029,-1.180830981,yy_xgs_p_res,pct
yy_xgs_p,2030,2,yy_xgs_p_res,pct
