NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_brel_ratio_gdp,2025,16.5,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2026,16.8,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2027,17.1,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2028,17.3,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2029,17.5,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2030,17.5,yy_brel_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2025,15,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2026,15.5,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2027,15.8,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2028,16,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2029,16.2,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2030,16.5,yy_bexl_oth_ratio_gdp_res,
yy_efir,2026,2.7,yy_efir_res,
yy_efir,2027,2.5,yy_efir_res,
yy_efir,2028,2.2,yy_efir_res,
yy_efir,2029,2.2,yy_efir_res,
yy_efir,2025,2.9,yy_efir_res,
yy_efir,2030,2,yy_efir_res,
yy_pudl_reval,2025,25,yy_pudl_reval_res,
yy_pudl_reval,2026,16,yy_pudl_reval_res,
yy_pudl_reval,2027,12,yy_pudl_reval_res,
yy_pudl_reval,2028,8,yy_pudl_reval_res,
yy_pudl_reval,2029,4,yy_pudl_reval_res,
