NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ca_xi_ratio_gdp,2025,9.4,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2026,9.4,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2027,9.4,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2028,9.4,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2029,9.4,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2030,9.4,yy_ca_xi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2025,-9.1,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2026,-9.1,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2027,-9.1,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2028,-9.1,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2029,-9.1,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2030,-9.1,yy_ca_mi_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2025,1.87723954,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2026,1.97723954,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2027,2.07723954,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2028,2.17723954,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2029,2.27723954,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2030,2.3,yy_ca_xi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2025,-2.78567786,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2026,-2.88567786,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2027,-2.98567786,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2028,-3.08567786,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2029,-3.18567786,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2030,-3.2,yy_ca_mi2_ratio_gdp_res,
