NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_agri_r_ratio_gdpp_r,2025,7.1,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2026,7,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2027,6.9,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2028,6.8,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2029,6.7,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2030,6.6,yy_agri_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2025,54,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2026,54,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2027,54,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2028,54,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2029,54,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2030,54,yy_ind_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2025,36.5,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2026,37,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2027,38,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2028,39,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2029,40,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2030,41,yy_serv_r_ratio_gdpp_r_res,
yy_man_r_ratio_ind_r,2025,13.859801552277112,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2026,14.106319761704963,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2027,14.496613193846999,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2028,14.897705258498895,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2029,15.354057889935127,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2030,15.5,yy_man_r_ratio_ind_r_res,
yy_inp_r,2025,4.0,yy_inp_r_res,pct
yy_inp_r,2026,5.0,yy_inp_r_res,pct
yy_inp_r,2027,6.0,yy_inp_r_res,pct
yy_inp_r,2028,6.0,yy_inp_r_res,pct
yy_inp_r,2029,6.0,yy_inp_r_res,pct
yy_inp_r,2030,6,yy_inp_r_res,pct
