NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ca_xi_ratio_gdp,2026,10.64,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2027,12.05,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2028,12.59,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2029,13.1,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2025,15.5,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2030,13,yy_ca_xi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2025,-13.8,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2026,-9.09032417,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2027,-10.2,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2028,-10.5,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2029,-11.2,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2030,-11.3,yy_ca_mi_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2025,3.70448196,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2026,3.80447633,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2027,3.90447069,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2028,4.00446505,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2029,4.10445942,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2030,4.1,yy_ca_xi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2025,-5.23002764,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2026,-5.330022,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2027,-5.1,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2028,-5.1,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2029,-5,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2030,-5.2,yy_ca_mi2_ratio_gdp_res,
