NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_sdc,2025,3.151901,yy_sdc_res,pct
yy_sdc,2026,1.236532,yy_sdc_res,pct
yy_sdc,2027,2.285599,yy_sdc_res,pct
yy_sdc,2028,1.814621,yy_sdc_res,pct
yy_sdc,2029,1.087507,yy_sdc_res,pct
yy_sdc,2030,2,yy_sdc_res,pct
yy_mss,2025,7.5,yy_mss_res,pct
yy_mss,2026,6,yy_mss_res,pct
yy_mss,2027,5.829104,yy_mss_res,pct
yy_mss,2028,5.33747,yy_mss_res,pct
yy_mss,2029,5,yy_mss_res,pct
yy_mss,2030,5,yy_mss_res,pct
yy_mst,2025,5,yy_mst_res,pct
yy_mst,2026,4.5,yy_mst_res,pct
yy_mst,2027,3.518665,yy_mst_res,pct
yy_mst,2028,4,yy_mst_res,pct
yy_mst,2029,3,yy_mst_res,pct
yy_mst,2030,4,yy_mst_res,pct
