NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ca_xi_ratio_gdp,2024,1.322811878,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2025,0.224930327,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2026,0.227931073,yy_ca_xi_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2024,-3.78305946227310000,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2025,-4.51337527653828000,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2026,-4.81673393933750000,yy_ca_mi_net_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2024,4.502035776,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2025,4.708592413,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2026,4.708592413,yy_ca_xi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2024,-1.085287151,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2025,-1.159187492,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2026,-1.159187492,yy_ca_mi2_ratio_gdp_res,
yy_xg_fob_usd,2025,8.873880476,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2026,3.68727508,yy_xg_fob_usd_res,pct
yy_mg_cif_usd,2025,-0.635109077,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2026,-0.202212528,yy_mg_cif_usd_res,pct
yy_wkr_usd,2024,0.63,yy_wkr_usd_res,
yy_wkr_usd,2025,0.65,yy_wkr_usd_res,
yy_wkr_usd,2026,0.66,yy_wkr_usd_res,
yy_tour_usd,2024,-32.8769113,yy_tour_usd_res,pct
yy_tour_usd,2025,20.51219652,yy_tour_usd_res,pct
yy_tour_usd,2026,4.324360231,yy_tour_usd_res,pct
yy_ca_xgs_usd,2024,-1,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2025,5,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2026,2,yy_ca_xgs_usd_res,pct
yy_ca_mgs_usd,2024,4,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2025,-2,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2026,0.186073286,yy_ca_mgs_usd_res,pct
yy_ca_xg_ratio_ca_xgs,2024,88.63331392,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2025,89.15313649,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2026,89.09375877,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_mg_ratio_ca_mgs,2024,78.56897458,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2025,77.75718327,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2026,77.45582391,yy_ca_mg_ratio_ca_mgs_res,
