NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
cpi,2025-Q4,0.5,cpi_res,pct
cpi,2026-Q4,0.7,cpi_res,pct
cpi,2027-Q4,2.2,cpi_res,annual_pct
cpi,2028-Q4,2.1,cpi_res,annual_pct
cpi,2029-Q4,2.1,cpi_res,annual_pct
cpi,2025-Q3,0.6,cpi_res,pct
cpi,2026-Q1,0.6,cpi_res,pct
cpi,2026-Q2,0.7,cpi_res,pct
cpi,2026-Q3,0.6,cpi_res,pct
cpi,2030-Q4,2.1,cpi_res,annual_pct
ppi,2027-Q4,1.3,ppi_res,annual_pct
ppi,2028-Q4,1.3,ppi_res,annual_pct
ppi,2029-Q4,1.3,ppi_res,annual_pct
ppi,2026-Q1,0.3,ppi_res,pct
ppi,2026-Q2,0.3,ppi_res,pct
ppi,2026-Q3,0.3,ppi_res,pct
ppi,2026-Q4,0.3,ppi_res,pct
ppi,2025-Q3,-2,ppi_res,pct
ppi,2025-Q4,0,ppi_res,pct
pce_r,2027-Q4,3.3,pce_r_res,annual_pct
pce_r,2028-Q4,3,pce_r_res,annual_pct
pce_r,2029-Q4,2.9,pce_r_res,annual_pct
pce_r,2025-Q2,1,pce_r_res,pct
pce_r,2025-Q3,0.4,pce_r_res,pct
pce_r,2025-Q4,0.5,pce_r_res,pct
pce_r,2026-Q1,1,pce_r_res,pct
pce_r,2026-Q2,1,pce_r_res,pct
pce_r,2026-Q3,1,pce_r_res,pct
pce_r,2026-Q4,1,pce_r_res,pct
gce_r,2027-Q4,2.5,gce_r_res,annual_pct
gce_r,2028-Q4,2,gce_r_res,annual_pct
gce_r,2029-Q4,1.7,gce_r_res,annual_pct
gce_r,2025-Q2,1,gce_r_res,pct
gce_r,2025-Q3,0.2,gce_r_res,pct
gce_r,2025-Q4,0.2,gce_r_res,pct
gfcf_r,2027-Q4,3.5,gfcf_r_res,annual_pct
gfcf_r,2028-Q4,3,gfcf_r_res,annual_pct
gfcf_r,2029-Q4,2.7,gfcf_r_res,annual_pct
gfcf_r,2025-Q2,2,gfcf_r_res,pct
gfcf_r,2025-Q3,1.2,gfcf_r_res,pct
gfcf_r,2026-Q2,1.2,gfcf_r_res,pct
gfcf_r,2026-Q3,1.5,gfcf_r_res,pct
gfcf_r,2026-Q4,1.5,gfcf_r_res,pct
gfcf_r,2026-Q1,1.2,gfcf_r_res,pct
stk_r,2027-Q4,2,stk_r_res,annual
stk_r,2028-Q4,1.3,stk_r_res,annual
stk_r,2029-Q4,1.3,stk_r_res,annual
stk_r,2025-Q2,0.6,stk_r_res,
stk_r,2025-Q3,0.6,stk_r_res,
stk_r,2025-Q4,0.8,stk_r_res,
stk_r,2026-Q1,0.8,stk_r_res,
stk_r,2026-Q2,0.8,stk_r_res,
stk_r,2026-Q3,1,stk_r_res,
xg_r,2027-Q4,2.4,xg_r_res,annual_pct
xg_r,2028-Q4,3.342616991,xg_r_res,annual_pct
xg_r,2029-Q4,3.553091654,xg_r_res,annual_pct
xg_r,2025-Q2,-0.2,xg_r_res,pct
xg_r,2025-Q3,-0.2,xg_r_res,pct
xg_r,2025-Q4,0,xg_r_res,pct
xg_r,2026-Q1,0.2,xg_r_res,pct
xg_r,2026-Q2,0,xg_r_res,pct
xs_r,2027-Q4,5.817217133,xs_r_res,annual_pct
xs_r,2028-Q4,4,xs_r_res,annual_pct
xs_r,2029-Q4,3,xs_r_res,annual_pct
mg_r,2027-Q4,3,mg_r_res,annual_pct
mg_r,2028-Q4,3,mg_r_res,annual_pct
mg_r,2029-Q4,3,mg_r_res,annual_pct
mg_r,2025-Q2,1,mg_r_res,pct
mg_r,2025-Q3,0.8,mg_r_res,pct
mg_r,2025-Q4,0.8,mg_r_res,pct
mg_r,2026-Q1,0.8,mg_r_res,pct
mg_r,2026-Q2,0.8,mg_r_res,pct
ms_r,2027-Q4,-0.616470285,ms_r_res,annual_pct
ms_r,2028-Q4,-0.075285452,ms_r_res,annual_pct
ms_r,2029-Q4,1.5,ms_r_res,annual_pct
ms_r,2025-Q2,-2,ms_r_res,pct
ms_r,2025-Q3,-2,ms_r_res,pct
ms_r,2025-Q4,0,ms_r_res,pct
ms_r,2026-Q1,1,ms_r_res,pct
ms_r,2026-Q2,1,ms_r_res,pct
ms_r,2026-Q3,1,ms_r_res,pct
ms_r,2026-Q4,1,ms_r_res,pct
partrate,2025-Q4,78.4,partrate_res,annual
partrate,2026-Q4,78.4,partrate_res,annual
partrate,2027-Q4,78.4,partrate_res,annual
partrate,2028-Q4,78.4,partrate_res,annual
partrate,2029-Q4,78.4,partrate_res,annual
urate,2027-Q4,3.642340715,urate_res,annual
urate,2028-Q4,3.386354195,urate_res,annual
urate,2029-Q4,3.128996798,urate_res,annual
urate,2025-Q3,4.7,urate_res,
urate,2025-Q4,4.5,urate_res,
urate,2026-Q1,4.4,urate_res,
xr,2027-Q4,1.735,xr_res,annual
xr,2028-Q4,1.76,xr_res,annual
xr,2029-Q4,1.77,xr_res,annual
xr,2025-Q3,1.67,xr_res,
xr,2025-Q4,1.67,xr_res,
xr,2026-Q1,1.68,xr_res,
xr,2026-Q2,1.68,xr_res,
xr,2026-Q3,1.68,xr_res,
xr,2026-Q4,1.69,xr_res,
xr,2030-Q4,1.76,xr_res,annual
