NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_gdpp_r,2025,1.8,yy_gdpp_r_res,pct
yy_gdpp_r,2026,2.2,yy_gdpp_r_res,pct
yy_gdpp_r,2027,2.4,yy_gdpp_r_res,pct
yy_agri_r_ratio_gdpp_r,2025,28.5,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2026,28.6,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2027,28.4,yy_agri_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2025,17.42082753646032,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2026,17.6,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2027,17.8,yy_ind_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2025,54.1,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2026,53.8,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2027,53.8,yy_serv_r_ratio_gdpp_r_res,
yy_man_r_ratio_ind_r,2025,62.11096080059115,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2026,61.21080194840868,yy_man_r_ratio_ind_r_res,
