NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_fdi_in_ratio_gdp,2024,2.3,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2025,1.6,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2026,1.7,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2027,1.9,yy_fdi_in_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2024,-0.11,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2025,-0.1,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2026,-0.2,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2027,-0.1,yy_fdi_out_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2024,1.4,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2025,1.3,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2026,1.4,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2027,1.1,yy_fpi_in_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2024,-0.8414953739398614,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2025,-0.36386573899380925,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2026,-0.41,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2027,-0.6,yy_fpi_out_ratio_gdp_res,
yy_reserves_fx_usd,2024,0.30518,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2025,1.133740789212661,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2026,1.1,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2027,1.3,yy_reserves_fx_usd_res,
yy_reserves_gold_usd,2024,0.0,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2025,0.0,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2026,0.0,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2027,0,yy_reserves_gold_usd_res,
