NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_cpi,2025,-0.2,yy_cpi_res,pct
yy_cpi,2026,-0.7,yy_cpi_res,pct
yy_cpi,2027,0.5,yy_cpi_res,pct
yy_cpi,2028,1.1,yy_cpi_res,pct
yy_cpi,2029,1.4,yy_cpi_res,pct
yy_pce_r,2025,3,yy_pce_r_res,pct
yy_pce_r,2026,4.5,yy_pce_r_res,pct
yy_pce_r,2027,4.8,yy_pce_r_res,pct
yy_pce_r,2028,5,yy_pce_r_res,pct
yy_pce_r,2029,5.1,yy_pce_r_res,pct
yy_gce_r,2025,1,yy_gce_r_res,pct
yy_gce_r,2026,1.5,yy_gce_r_res,pct
yy_gce_r,2027,1.7,yy_gce_r_res,pct
yy_gce_r,2028,1.8,yy_gce_r_res,pct
yy_gce_r,2029,1.9,yy_gce_r_res,pct
yy_gfcf_r,2025,1.3,yy_gfcf_r_res,pct
yy_gfcf_r,2026,3.5,yy_gfcf_r_res,pct
yy_gfcf_r,2027,4.0619928330000000,yy_gfcf_r_res,pct
yy_gfcf_r,2028,7,yy_gfcf_r_res,pct
yy_gfcf_r,2029,7.3276618100000000,yy_gfcf_r_res,pct
yy_stk_r,2025,0.0400000000000000,yy_stk_r_res,
yy_stk_r,2026,0.0400000000000000,yy_stk_r_res,
yy_stk_r,2027,0.0383797270000000,yy_stk_r_res,
yy_stk_r,2028,0.0394557900000000,yy_stk_r_res,
yy_stk_r,2029,0.0389960980000000,yy_stk_r_res,
yy_xgs_r,2025,-8,yy_xgs_r_res,pct
yy_xgs_r,2026,2,yy_xgs_r_res,pct
yy_xgs_r,2027,2.4,yy_xgs_r_res,pct
yy_xgs_r,2028,2.6,yy_xgs_r_res,pct
yy_xgs_r,2029,2.6,yy_xgs_r_res,pct
yy_mgs_r,2025,-10,yy_mgs_r_res,pct
yy_mgs_r,2026,3.1,yy_mgs_r_res,pct
yy_mgs_r,2027,3.8,yy_mgs_r_res,pct
yy_mgs_r,2028,5.7,yy_mgs_r_res,pct
yy_mgs_r,2029,5.8,yy_mgs_r_res,pct
yy_gdp_r,2025,1.2,yy_gdp_r_res,pct
yy_gdp_r,2026,2.5,yy_gdp_r_res,pct
yy_gdp_r,2027,2.8,yy_gdp_r_res,pct
yy_gdp_r,2028,2.9,yy_gdp_r_res,pct
yy_gdp_r,2029,3,yy_gdp_r_res,pct
yy_partrate,2024,69.0723302328536000,yy_partrate_res,
yy_partrate,2025,69.3,yy_partrate_res,
yy_partrate,2026,69.3798373138697000,yy_partrate_res,
yy_partrate,2027,69.6592331568184000,yy_partrate_res,
yy_partrate,2028,69.7724684085228000,yy_partrate_res,
yy_partrate,2029,69.8702519336096000,yy_partrate_res,
yy_urate,2024,4.7,yy_urate_res,
yy_urate,2025,4.6,yy_urate_res,
yy_urate,2026,4.6,yy_urate_res,
yy_urate,2027,4.5,yy_urate_res,
yy_urate,2028,4.3,yy_urate_res,
yy_urate,2029,4.2,yy_urate_res,
yy_xr,2025,1.3,yy_xr_res,
yy_xr,2026,1.28,yy_xr_res,
yy_xr,2027,1.29,yy_xr_res,
yy_xr,2028,1.3,yy_xr_res,
yy_xr,2029,1.31,yy_xr_res,
yy_xg_r,2024,3.5,yy_xg_r_res,pct
yy_xg_r,2020,11.7,yy_xg_r_res,pct
yy_xg_r,2021,10.8,yy_xg_r_res,pct
yy_xg_r,2022,6.3,yy_xg_r_res,pct
yy_xg_r,2023,-2.7,yy_xg_r_res,pct
yy_xg_r,2025,-8.5,yy_xg_r_res,pct
yy_xg_r,2026,1.4,yy_xg_r_res,pct
yy_xg_r,2027,2,yy_xg_r_res,pct
yy_xg_r,2028,2.5,yy_xg_r_res,pct
yy_xg_r,2029,2.5,yy_xg_r_res,pct
yy_mg_r,2024,-1.2,yy_mg_r_res,pct
yy_mg_r,2020,10.8,yy_mg_r_res,pct
yy_mg_r,2021,42.8,yy_mg_r_res,pct
yy_mg_r,2022,7.8,yy_mg_r_res,pct
yy_mg_r,2023,-14.4,yy_mg_r_res,pct
yy_mg_r,2025,-9.5,yy_mg_r_res,pct
yy_mg_r,2026,1.6,yy_mg_r_res,pct
yy_mg_r,2027,1.9,yy_mg_r_res,pct
yy_mg_r,2028,5,yy_mg_r_res,pct
yy_mg_r,2029,5.5,yy_mg_r_res,pct
