NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_gdp,2025,16.76559794,yy_gdp_res,pct
yy_gdp,2026,11.89658045,yy_gdp_res,pct
yy_gdp,2027,11.35267699,yy_gdp_res,pct
yy_gdp,2028,8.384077742,yy_gdp_res,pct
yy_gdp,2029,7.4,yy_gdp_res,pct
yy_pce_p,2025,15,yy_pce_p_res,pct
yy_pce_p,2026,10,yy_pce_p_res,pct
yy_pce_p,2027,8,yy_pce_p_res,pct
yy_pce_p,2028,5,yy_pce_p_res,pct
yy_pce_p,2029,4,yy_pce_p_res,pct
yy_gce_p,2025,15,yy_gce_p_res,pct
yy_gce_p,2026,10,yy_gce_p_res,pct
yy_gce_p,2027,8,yy_gce_p_res,pct
yy_gce_p,2028,5,yy_gce_p_res,pct
yy_gce_p,2029,4,yy_gce_p_res,pct
yy_gfcf_p,2025,15,yy_gfcf_p_res,pct
yy_gfcf_p,2026,10,yy_gfcf_p_res,pct
yy_gfcf_p,2027,8,yy_gfcf_p_res,pct
yy_gfcf_p,2028,5,yy_gfcf_p_res,pct
yy_gfcf_p,2029,4,yy_gfcf_p_res,pct
yy_stk,2025,0.499460563,yy_stk_res,
yy_stk,2026,0.547663667,yy_stk_res,
yy_stk,2027,0.593238142,yy_stk_res,
yy_stk,2028,0.623739443,yy_stk_res,
yy_stk,2029,0.649717363,yy_stk_res,
