NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
xgs_p,2025-Q4,5.241817756,xgs_p_res,annual_pct
xgs_p,2026-Q4,5.049324598,xgs_p_res,annual_pct
xgs_p,2027-Q4,4.063755256,xgs_p_res,annual_pct
xgs_p,2028-Q4,3.524744,xgs_p_res,annual_pct
xgs_p,2029-Q4,3.525004379,xgs_p_res,annual_pct
xgs_p,2030-Q4,3.5,xgs_p_res,annual_pct
mgs_p,2025-Q4,3.505703091,mgs_p_res,annual_pct
mgs_p,2026-Q4,0.968717872,mgs_p_res,annual_pct
mgs_p,2027-Q4,3.736412455,mgs_p_res,annual_pct
mgs_p,2028-Q4,4.15128394,mgs_p_res,annual_pct
mgs_p,2029-Q4,5.322965103,mgs_p_res,annual_pct
mgs_p,2030-Q4,5,mgs_p_res,annual_pct
xg_p,2025-Q4,8.837760608,xg_p_res,annual_pct
xg_p,2026-Q4,2.469322825,xg_p_res,annual_pct
xg_p,2027-Q4,5.088823189,xg_p_res,annual_pct
xg_p,2028-Q4,8.362096798,xg_p_res,annual_pct
xg_p,2029-Q4,8.717969822,xg_p_res,annual_pct
xg_p,2030-Q4,8.5,xg_p_res,annual_pct
mg_p,2025-Q4,2.795105339,mg_p_res,annual_pct
mg_p,2026-Q4,7.627425223,mg_p_res,annual_pct
mg_p,2027-Q4,9.343843952,mg_p_res,annual_pct
mg_p,2028-Q4,9.164545509,mg_p_res,annual_pct
mg_p,2029-Q4,10.54022168,mg_p_res,annual_pct
mg_p,2030-Q4,9.5,mg_p_res,annual_pct
