NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_cpi,2025,3.1,yy_cpi_res,pct
yy_cpi,2026,2.5,yy_cpi_res,pct
yy_pce_r,2024,6.08975922,yy_pce_r_res,pct
yy_pce_r,2025,4.942923191,yy_pce_r_res,pct
yy_pce_r,2026,5.438102645,yy_pce_r_res,pct
yy_gce_r,2024,5,yy_gce_r_res,pct
yy_gce_r,2025,5.3,yy_gce_r_res,pct
yy_gce_r,2026,5,yy_gce_r_res,pct
yy_gfcf_r,2024,5.5,yy_gfcf_r_res,pct
yy_gfcf_r,2025,5.7,yy_gfcf_r_res,pct
yy_gfcf_r,2026,6,yy_gfcf_r_res,pct
yy_stk_r,2024,0.258407778,yy_stk_r_res,
yy_stk_r,2025,0.239297037,yy_stk_r_res,
yy_stk_r,2026,0.286146049,yy_stk_r_res,
yy_xgs_r,2024,2.859025555,yy_xgs_r_res,pct
yy_xgs_r,2025,3.599262925,yy_xgs_r_res,pct
yy_xgs_r,2026,3.266946375,yy_xgs_r_res,pct
yy_mgs_r,2024,6,yy_mgs_r_res,pct
yy_mgs_r,2025,5.2,yy_mgs_r_res,pct
yy_mgs_r,2026,5,yy_mgs_r_res,pct
yy_gdp_r,2024,4.8,yy_gdp_r_res,pct
yy_gdp_r,2025,5,yy_gdp_r_res,pct
yy_gdp_r,2026,5.4,yy_gdp_r_res,pct
yy_xr,2025,86.63,yy_xr_res,
yy_xr,2026,87.52,yy_xr_res,
