NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_xr_e,2025,14.89,yy_xr_e_res,
yy_xr_e,2026,13.36,yy_xr_e_res,
yy_xr_e,2027,15.43980789964212,yy_xr_e_res,
yy_xr_e,2028,14.41,yy_xr_e_res,
yy_xr_e,2029,15.97,yy_xr_e_res,
yy_rp_e,2022,2.65,yy_rp_e_res,
yy_rp_e,2023,2.4,yy_rp_e_res,
yy_rp_e,2024,1.9,yy_rp_e_res,
yy_rp_e,2025,1.4,yy_rp_e_res,
yy_rp_e,2026,1.4,yy_rp_e_res,
yy_rp_e,2027,1.4,yy_rp_e_res,
yy_rp_e,2028,1.4,yy_rp_e_res,
yy_rp_e,2029,1.4,yy_rp_e_res,
yy_r3m_e,2025,1.4,yy_r3m_e_res,
yy_r3m_e,2026,1.4,yy_r3m_e_res,
yy_r3m_e,2027,1.4,yy_r3m_e_res,
yy_r3m_e,2028,1.4,yy_r3m_e_res,
yy_r3m_e,2029,1.4,yy_r3m_e_res,
yy_cpi_e,2025,3.313275333086252,yy_cpi_e_res,pct
yy_cpi_e,2026,3.144380325456786,yy_cpi_e_res,pct
yy_cpi_e,2027,2.835821980147091,yy_cpi_e_res,pct
yy_cpi_e,2028,2.80397949107869,yy_cpi_e_res,pct
yy_cpi_e,2029,3.162567507033587,yy_cpi_e_res,pct
