NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_mg_p_usd,2025,-6.6,yy_mg_p_usd_res,pct
yy_mg_p_usd,2026,-2.9,yy_mg_p_usd_res,pct
yy_mg_p_usd,2027,0.65,yy_mg_p_usd_res,pct
yy_mg_p_usd,2028,-2.6,yy_mg_p_usd_res,pct
yy_mg_p_usd,2029,-3.6,yy_mg_p_usd_res,pct
yy_ms_p_usd,2025,2.4,yy_ms_p_usd_res,pct
yy_ms_p_usd,2026,2.2,yy_ms_p_usd_res,pct
yy_ms_p_usd,2027,2,yy_ms_p_usd_res,pct
yy_ms_p_usd,2028,2,yy_ms_p_usd_res,pct
yy_ms_p_usd,2029,2,yy_ms_p_usd_res,pct
yy_xs_p,2025,4.55,yy_xs_p_res,pct
yy_xs_p,2026,4.1,yy_xs_p_res,pct
yy_xs_p,2027,4,yy_xs_p_res,pct
yy_xs_p,2028,4,yy_xs_p_res,pct
yy_xs_p,2029,4,yy_xs_p_res,pct
yy_xg_p_usd,2025,-8.8,yy_xg_p_usd_res,pct
yy_xg_p_usd,2026,4.5,yy_xg_p_usd_res,pct
yy_xg_p_usd,2027,5.2,yy_xg_p_usd_res,pct
yy_xg_p_usd,2028,6.1,yy_xg_p_usd_res,pct
yy_xg_p_usd,2029,5.6,yy_xg_p_usd_res,pct
