NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
cpi,2025-Q3,0.45,cpi_res,pct
cpi,2025-Q4,0.45,cpi_res,pct
cpi,2026-Q1,0.6,cpi_res,pct
cpi,2026-Q2,0.65,cpi_res,pct
cpi,2026-Q3,0.5,cpi_res,pct
cpi,2026-Q4,0.5,cpi_res,pct
cpi,2027-Q1,0.560668118,cpi_res,pct
cpi,2027-Q2,0.557824824,cpi_res,pct
cpi,2027-Q3,0.554969723,cpi_res,pct
cpi,2027-Q4,0.552102514,cpi_res,pct
cpi,2028-Q4,2.2,cpi_res,annual_pct
cpi,2029-Q4,2.1,cpi_res,annual_pct
cpi,2030-Q4,2.1,cpi_res,annual_pct
ppi,2025-Q3,0.1,ppi_res,pct
ppi,2025-Q4,0.2,ppi_res,pct
ppi,2026-Q1,0.8,ppi_res,pct
ppi,2026-Q2,0.7,ppi_res,pct
ppi,2026-Q3,0.8,ppi_res,pct
ppi,2026-Q4,0.5,ppi_res,pct
ppi,2027-Q1,0.366973127,ppi_res,pct
ppi,2027-Q2,0.41463754,ppi_res,pct
ppi,2027-Q3,0.462741898,ppi_res,pct
ppi,2027-Q4,0.511220171,ppi_res,pct
ppi,2028-Q4,2.1,ppi_res,annual_pct
ppi,2029-Q4,2.1,ppi_res,annual_pct
ppi,2030-Q4,2.2,ppi_res,annual_pct
pce_r,2025-Q3,0.3,pce_r_res,pct
pce_r,2025-Q4,0.2,pce_r_res,pct
pce_r,2026-Q1,0.5,pce_r_res,pct
pce_r,2026-Q2,0.7,pce_r_res,pct
pce_r,2026-Q3,0.7,pce_r_res,pct
pce_r,2026-Q4,0.6,pce_r_res,pct
pce_r,2027-Q1,0.140332936,pce_r_res,pct
pce_r,2027-Q2,0.207606113,pce_r_res,pct
pce_r,2027-Q3,0.275647127,pce_r_res,pct
pce_r,2027-Q4,0.344323507,pce_r_res,pct
pce_r,2028-Q4,1.5,pce_r_res,annual_pct
pce_r,2029-Q4,1.7,pce_r_res,annual_pct
pce_r,2030-Q4,1.7,pce_r_res,annual_pct
gce_r,2025-Q3,1.2,gce_r_res,pct
gce_r,2025-Q4,0.9,gce_r_res,pct
gce_r,2026-Q1,0.6,gce_r_res,pct
gce_r,2026-Q2,0.4,gce_r_res,pct
gce_r,2026-Q3,0.2,gce_r_res,pct
gce_r,2026-Q4,0.11,gce_r_res,pct
gce_r,2027-Q1,1.190237218,gce_r_res,pct
gce_r,2027-Q2,0.994019543,gce_r_res,pct
gce_r,2027-Q3,0.800766192,gce_r_res,pct
gce_r,2027-Q4,0.609336692,gce_r_res,pct
gce_r,2028-Q4,2.1,gce_r_res,annual_pct
gce_r,2029-Q4,1.4,gce_r_res,annual_pct
gce_r,2030-Q4,1.6,gce_r_res,annual_pct
gfcf_r,2025-Q3,-0.4,gfcf_r_res,pct
gfcf_r,2025-Q4,-0.2,gfcf_r_res,pct
gfcf_r,2026-Q1,-0.1,gfcf_r_res,pct
gfcf_r,2026-Q2,0.1,gfcf_r_res,pct
gfcf_r,2026-Q3,0.2,gfcf_r_res,pct
gfcf_r,2026-Q4,0.3,gfcf_r_res,pct
gfcf_r,2027-Q1,-0.528255305,gfcf_r_res,pct
gfcf_r,2027-Q2,-0.318126335,gfcf_r_res,pct
gfcf_r,2027-Q3,-0.102331827,gfcf_r_res,pct
gfcf_r,2027-Q4,0.117826985,gfcf_r_res,pct
gfcf_r,2028-Q4,0.8,gfcf_r_res,annual_pct
gfcf_r,2029-Q4,1.33,gfcf_r_res,annual_pct
gfcf_r,2030-Q4,1.6,gfcf_r_res,annual_pct
stk_r,2025-Q3,5,stk_r_res,
stk_r,2025-Q4,4.5,stk_r_res,
stk_r,2026-Q1,3.5,stk_r_res,
stk_r,2026-Q2,4,stk_r_res,
stk_r,2026-Q3,3,stk_r_res,
stk_r,2026-Q4,3.5,stk_r_res,
stk_r,2027-Q1,3.098831781,stk_r_res,
stk_r,2027-Q2,2.798831781,stk_r_res,
stk_r,2027-Q3,2.6,stk_r_res,
stk_r,2027-Q4,2.502336438,stk_r_res,
stk_r,2028-Q4,10.5,stk_r_res,annual
stk_r,2029-Q4,13,stk_r_res,annual
stk_r,2030-Q4,15,stk_r_res,annual
xg_r,2025-Q3,-1,xg_r_res,pct
xg_r,2025-Q4,0.2,xg_r_res,pct
xg_r,2026-Q1,0.6,xg_r_res,pct
xg_r,2026-Q2,1.2,xg_r_res,pct
xg_r,2026-Q3,1.6,xg_r_res,pct
xg_r,2026-Q4,1.4,xg_r_res,pct
xg_r,2027-Q1,-0.876918381,xg_r_res,pct
xg_r,2027-Q2,-0.534215332,xg_r_res,pct
