NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ca_xg_usd,2025,-5.697000626,yy_ca_xg_usd_res,pct
yy_ca_xg_usd,2026,4.263035168,yy_ca_xg_usd_res,pct
yy_ca_xg_usd,2027,5.867574164,yy_ca_xg_usd_res,pct
yy_ca_xg_usd,2028,5.210587446,yy_ca_xg_usd_res,pct
yy_ca_xg_usd,2029,6.522751443,yy_ca_xg_usd_res,pct
yy_ca_xg_usd,2030,4.052104116,yy_ca_xg_usd_res,pct
yy_ca_mg_usd,2025,2.332168495,yy_ca_mg_usd_res,pct
yy_ca_mg_usd,2026,2.446482399,yy_ca_mg_usd_res,pct
yy_ca_mg_usd,2027,4.055559038,yy_ca_mg_usd_res,pct
yy_ca_mg_usd,2028,4.36667713,yy_ca_mg_usd_res,pct
yy_ca_mg_usd,2029,4.487588837,yy_ca_mg_usd_res,pct
yy_ca_mg_usd,2030,2.242057348,yy_ca_mg_usd_res,pct
yy_ca_xs_usd,2025,-0.931928633,yy_ca_xs_usd_res,pct
yy_ca_xs_usd,2026,4.37771743,yy_ca_xs_usd_res,pct
yy_ca_xs_usd,2027,4.560062968,yy_ca_xs_usd_res,pct
yy_ca_xs_usd,2028,5.777000015,yy_ca_xs_usd_res,pct
yy_ca_xs_usd,2029,10.09176957,yy_ca_xs_usd_res,pct
yy_ca_xs_usd,2030,4.632242058,yy_ca_xs_usd_res,pct
yy_ca_ms_usd,2025,-3.775283345,yy_ca_ms_usd_res,pct
yy_ca_ms_usd,2026,5.008365279,yy_ca_ms_usd_res,pct
yy_ca_ms_usd,2027,4.645251875,yy_ca_ms_usd_res,pct
yy_ca_ms_usd,2028,6.084072291,yy_ca_ms_usd_res,pct
yy_ca_ms_usd,2029,9.637401764,yy_ca_ms_usd_res,pct
yy_ca_ms_usd,2030,3.521660576,yy_ca_ms_usd_res,pct
yy_ca_xi_ratio_gdp,2025,9.450000002,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2026,10.1,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2027,10.2,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2028,10.44710725,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2029,10.8,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2030,10.3,yy_ca_xi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2025,-9.103502265,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2026,-9.46424894,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2027,-9.778386473,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2028,-10.02321631,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2029,-10.25,yy_ca_mi_ratio_gdp_res,
yy_ca_mi_ratio_gdp,2030,-10.5,yy_ca_mi_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2025,0.7,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2026,0.654000623,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2027,0.654350365,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2028,0.653883904,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2029,0.65,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2030,0.7,yy_ca_xi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2025,-1,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2026,-1.3,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2027,-1,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2028,-0.8,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2029,-0.92,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2030,-0.8,yy_ca_mi2_ratio_gdp_res,
yy_xg_fob_usd,2025,-5.69700062,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2026,4.263035166,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2027,5.867574176,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2028,5.210587438,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2029,6.522751436,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2030,4.052104106,yy_xg_fob_usd_res,pct
yy_mg_cif_usd,2025,2.332168484,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2026,2.446482404,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2027,4.055559052,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2028,4.366677114,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2029,4.487588846,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2030,2.242057355,yy_mg_cif_usd_res,pct
yy_petp,2025,5917.7415,yy_petp_res,
yy_petp,2026,5947.330207,yy_petp_res,
yy_petp,2027,5965.172198,yy_petp_res,
yy_petp,2028,5983.067715,yy_petp_res,
