NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_rp_e,2025,25,yy_rp_e_res,
yy_rp_e,2026,15.5,yy_rp_e_res,
yy_rp_e,2027,12,yy_rp_e_res,
yy_r3m_e,2022,6.911985918,yy_rp_e_res,
yy_r3m_e,2023,18.17955131,yy_rp_e_res,
yy_r3m_e,2024,22.27901907,yy_r3m_e_res,
yy_r3m_e,2025,21.4,yy_r3m_e_res,
yy_r3m_e,2026,14.6,yy_r3m_e_res,
yy_r3m_e,2027,13.4,yy_r3m_e_res,
yy_xr_e,2025,2884,yy_xr_e_res,
yy_xr_e,2026,2929.5,yy_xr_e_res,
yy_xr_e,2027,3055.5,yy_xr_e_res,
yy_cpi_e,2025,7.2,yy_cpi_e_res,pct
yy_cpi_e,2026,7.5,yy_cpi_e_res,pct
yy_cpi_e,2027,5.2,yy_cpi_e_res,pct
