NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
xg_p_usd,2025-Q3,7,xg_p_usd_res,pct
xg_p_usd,2025-Q4,6.3,xg_p_usd_res,pct
xg_p_usd,2026-Q1,-5.5,xg_p_usd_res,pct
xg_p_usd,2026-Q2,-3.2,xg_p_usd_res,pct
xg_p_usd,2026-Q3,-1,xg_p_usd_res,pct
xg_p_usd,2026-Q4,0.5,xg_p_usd_res,pct
xg_p_usd,2027-Q2,1,xg_p_usd_res,pct
xg_p_usd,2027-Q3,1,xg_p_usd_res,pct
xg_p_usd,2027-Q4,1,xg_p_usd_res,pct
xs_p,2025-Q4,6,xs_p_res,pct
xs_p,2025-Q3,6.3,xs_p_res,pct
xs_p,2026-Q1,-3,xs_p_res,pct
xs_p,2026-Q2,-2,xs_p_res,pct
xs_p,2026-Q3,-1,xs_p_res,pct
xs_p,2026-Q4,0,xs_p_res,pct
mg_p_usd,2027-Q1,1,mg_p_usd_res,pct
