NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
r3m,2025-Q3,1.5,r3m_res,
r3m,2025-Q4,1.4,r3m_res,
r10y,2025-Q4,1.8,r10y_res,
r10y,2026-Q4,1.45,r10y_res,
r10y,2027-Q4,1.4,r10y_res,annual
r10y,2028-Q4,1.3,r10y_res,annual
r10y,2029-Q4,1.3,r10y_res,annual
r10y,2025-Q3,1.75,r10y_res,
r10y,2026-Q1,1.55,r10y_res,
r10y,2026-Q2,1.5,r10y_res,
r10y,2026-Q3,1.5,r10y_res,
r10y,2030-Q4,1.3,r10y_res,annual
rl,2026-Q4,2.55,rl_res,annual
rl,2027-Q4,2.3,rl_res,annual
rl,2028-Q4,2.1,rl_res,annual
rl,2029-Q4,1.9,rl_res,annual
rl,2025-Q4,2.7,rl_res,
rl,2030-Q4,1.8,rl_res,annual
rl,2026-Q3,2.52,rl_res,
rl,2026-Q2,2.58,rl_res,
rl,2026-Q1,2.64,rl_res,
rd,2025-Q4,1.4,rd_res,
rd,2026-Q4,1.4,rd_res,
rd,2027-Q4,1.4,rd_res,
rd,2028-Q4,1.4,rd_res,annual
rd,2029-Q4,1.4,rd_res,annual
rd,2030-Q4,1.4,rd_res,annual
rd,2026-Q1,1.4,rd_res,
rd,2026-Q2,1.4,rd_res,
rd,2026-Q3,1.4,rd_res,
rd,2027-Q1,1.4,rd_res,
rd,2027-Q2,1.4,rd_res,
rd,2027-Q3,1.4,rd_res,
rp,2024-Q4,1.5,rp_res,
rp,2025-Q2,1.4,rp_res,
rp,2025-Q3,1.4,rp_res,
rp,2025-Q4,1.4,rp_res,
rp,2026-Q1,1.4,rp_res,
rp,2026-Q2,1.3,rp_res,
rp,2026-Q3,1.3,rp_res,
rp,2026-Q4,1.2,rp_res,
rp,2025-Q1,1.5,rp_res,
rp,2027-Q4,1.1,rp_res,
rp,2029-Q4,1,rp_res,annual
rp,2028-Q4,1,rp_res,annual
rp,2030-Q4,1,rp_res,annual
rp,2027-Q1,1.2,rp_res,
rp,2027-Q2,1.2,rp_res,
rp,2027-Q3,1.1,rp_res,
