NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
cpi,2025-Q4,0.9,cpi_res,pct
cpi,2026-Q4,0.7,cpi_res,pct
cpi,2027-Q4,0.7,cpi_res,pct
cpi,2028-Q4,2.931026452,cpi_res,annual_pct
cpi,2029-Q4,2.918321777,cpi_res,annual_pct
cpi,2025-Q3,1.1,cpi_res,pct
cpi,2026-Q1,0.7,cpi_res,pct
cpi,2026-Q2,0.7,cpi_res,pct
cpi,2026-Q3,0.7,cpi_res,pct
cpi,2027-Q1,0.7,cpi_res,pct
cpi,2027-Q2,0.7,cpi_res,pct
cpi,2027-Q3,0.7,cpi_res,pct
ppi,2025-Q4,0.4,ppi_res,pct
ppi,2026-Q4,1.820537089,ppi_res,annual_pct
ppi,2027-Q4,0.8,ppi_res,pct
ppi,2028-Q4,3.083800155,ppi_res,annual_pct
ppi,2029-Q4,3.298818852,ppi_res,annual_pct
ppi,2025-Q3,0.5,ppi_res,pct
ppi,2026-Q1,0.3,ppi_res,pct
ppi,2026-Q2,0.5,ppi_res,pct
ppi,2026-Q3,0.6,ppi_res,pct
ppi,2027-Q1,0.8,ppi_res,pct
ppi,2027-Q2,0.8,ppi_res,pct
ppi,2027-Q3,0.8,ppi_res,pct
pce_r,2025-Q4,0.1,pce_r_res,pct
pce_r,2026-Q4,2,pce_r_res,pct
pce_r,2029-Q4,3.4,pce_r_res,annual_pct
pce_r,2025-Q3,0.5,pce_r_res,pct
pce_r,2026-Q1,0.6,pce_r_res,pct
pce_r,2026-Q2,1,pce_r_res,pct
pce_r,2026-Q3,1.6,pce_r_res,pct
pce_r,2028-Q4,3.4,pce_r_res,annual_pct
pce_r,2027-Q1,0.5,pce_r_res,pct
pce_r,2027-Q2,-0.1,pce_r_res,pct
pce_r,2027-Q3,0.3,pce_r_res,pct
pce_r,2027-Q4,0.3,pce_r_res,pct
pce_r,2030-Q4,3.3,pce_r_res,annual_pct
gce_r,2025-Q4,0.3,gce_r_res,pct
gce_r,2026-Q4,0.5,gce_r_res,pct
gce_r,2028-Q4,3,gce_r_res,annual_pct
gce_r,2029-Q4,3,gce_r_res,annual_pct
gce_r,2025-Q3,-0.4,gce_r_res,pct
gce_r,2026-Q1,2,gce_r_res,pct
gce_r,2026-Q2,1,gce_r_res,pct
gce_r,2026-Q3,-0.4,gce_r_res,pct
gce_r,2027-Q1,1,gce_r_res,pct
gce_r,2027-Q2,1.4,gce_r_res,pct
gce_r,2027-Q3,1.2,gce_r_res,pct
gce_r,2027-Q4,1.6,gce_r_res,pct
gce_r,2030-Q4,3.2,gce_r_res,annual_pct
gfcf_r,2025-Q4,2.4,gfcf_r_res,pct
gfcf_r,2026-Q4,0.3,gfcf_r_res,pct
gfcf_r,2028-Q4,4.5,gfcf_r_res,annual_pct
gfcf_r,2029-Q4,4,gfcf_r_res,annual_pct
gfcf_r,2025-Q3,3,gfcf_r_res,pct
gfcf_r,2026-Q1,1,gfcf_r_res,pct
gfcf_r,2026-Q2,0.2,gfcf_r_res,pct
gfcf_r,2026-Q3,0.6,gfcf_r_res,pct
gfcf_r,2027-Q1,1.5,gfcf_r_res,pct
gfcf_r,2027-Q2,2,gfcf_r_res,pct
gfcf_r,2027-Q3,2.5,gfcf_r_res,pct
gfcf_r,2027-Q4,2,gfcf_r_res,pct
gfcf_r,2030-Q4,4.7,gfcf_r_res,annual_pct
stk_r,2025-Q4,1600,stk_r_res,
stk_r,2026-Q4,1900,stk_r_res,
stk_r,2028-Q4,5520.140867,stk_r_res,annual
stk_r,2029-Q4,5520.140867,stk_r_res,annual
stk_r,2025-Q3,1600,stk_r_res,
stk_r,2026-Q1,1567,stk_r_res,
stk_r,2026-Q2,1600,stk_r_res,
stk_r,2026-Q3,1900,stk_r_res,
stk_r,2027-Q1,1806,stk_r_res,
stk_r,2027-Q2,1735,stk_r_res,
stk_r,2027-Q3,1680,stk_r_res,
stk_r,2027-Q4,1639,stk_r_res,
stk_r,2030-Q4,5713,stk_r_res,annual
xg_r,2027-Q4,4,xg_r_res,annual_pct
xg_r,2028-Q4,4.1642779,xg_r_res,annual_pct
xg_r,2029-Q4,4.918490711,xg_r_res,annual_pct
xg_r,2030-Q4,4.5,xg_r_res,annual_pct
mg_r,2027-Q4,5,mg_r_res,annual_pct
mg_r,2028-Q4,6.5,mg_r_res,annual_pct
mg_r,2029-Q4,6.5,mg_r_res,annual_pct
mg_r,2030-Q4,5.9,mg_r_res,annual_pct
urate,2025-Q4,8.9,urate_res,
urate,2026-Q4,8.8,urate_res,
urate,2027-Q4,8.9,urate_res,
urate,2028-Q4,9,urate_res,annual
urate,2029-Q4,8.9,urate_res,annual
urate,2025-Q3,8.9,urate_res,
urate,2026-Q1,9,urate_res,
urate,2026-Q2,9,urate_res,
urate,2026-Q3,8.88,urate_res,
urate,2027-Q1,8.8,urate_res,
urate,2027-Q2,8.9,urate_res,
urate,2027-Q3,8.9,urate_res,
xr,2025-Q4,3900,xr_res,
xr,2026-Q4,4053,xr_res,
xr,2027-Q4,4118,xr_res,
xr,2028-Q4,4100.157796,xr_res,annual
xr,2029-Q4,4064.434247,xr_res,annual
xr,2026-Q1,4191,xr_res,
xr,2026-Q2,4107,xr_res,
xr,2026-Q3,4061,xr_res,
xr,2030-Q4,4030,xr_res,annual
xr,2027-Q1,4082,xr_res,
xr,2027-Q2,4103,xr_res,
xr,2027-Q3,4114,xr_res,
xgs_r,2025-Q4,1.3,xgs_r_res,pct
xgs_r,2026-Q4,0.5,xgs_r_res,pct
xgs_r,2028-Q4,4.3,xgs_r_res,annual_pct
xgs_r,2029-Q4,4.5,xgs_r_res,annual_pct
xgs_r,2025-Q3,2,xgs_r_res,pct
xgs_r,2026-Q1,0.5,xgs_r_res,pct
xgs_r,2026-Q2,0.7,xgs_r_res,pct
xgs_r,2026-Q3,1,xgs_r_res,pct
xgs_r,2027-Q1,0.6,xgs_r_res,pct
xgs_r,2027-Q2,0.8,xgs_r_res,pct
xgs_r,2027-Q3,0.9,xgs_r_res,pct
xgs_r,2027-Q4,0.9,xgs_r_res,pct
xgs_r,2030-Q4,4.4,xgs_r_res,annual_pct
mgs_r,2025-Q4,-0.8,mgs_r_res,pct
mgs_r,2026-Q4,2.5,mgs_r_res,pct
mgs_r,2028-Q4,6.2,mgs_r_res,annual_pct
mgs_r,2029-Q4,6.544020338,mgs_r_res,annual_pct
mgs_r,2025-Q3,0.3,mgs_r_res,pct
mgs_r,2026-Q1,1.5,mgs_r_res,pct
mgs_r,2026-Q2,2.5,mgs_r_res,pct
mgs_r,2026-Q3,3,mgs_r_res,pct
mgs_r,2027-Q1,1,mgs_r_res,pct
mgs_r,2027-Q2,1.5,mgs_r_res,pct
mgs_r,2027-Q3,0.6,mgs_r_res,pct
mgs_r,2027-Q4,0.7,mgs_r_res,pct
mgs_r,2030-Q4,5.9,mgs_r_res,annual_pct
partrate,2025-Q4,71.5,partrate_res,
partrate,2026-Q4,71.6,partrate_res,
partrate,2027-Q4,72.2,partrate_res,
partrate,2028-Q4,72.5,partrate_res,annual
partrate,2029-Q4,73,partrate_res,annual
partrate,2025-Q3,71.3,partrate_res,
partrate,2026-Q1,71.4,partrate_res,
partrate,2026-Q2,71.4,partrate_res,
partrate,2026-Q3,71.5,partrate_res,
partrate,2027-Q1,71.8,partrate_res,
partrate,2027-Q2,71.9,partrate_res,
partrate,2027-Q3,72.1,partrate_res,
