NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
rp,2025-Q4,9.25,rp_res,
rp,2026-Q1,8.75,rp_res,
rp,2026-Q2,8,rp_res,
rp,2026-Q3,7.5,rp_res,
rp,2026-Q4,7,rp_res,
rp,2027-Q4,5,rp_res,
rp,2028-Q4,5,rp_res,
rp,2029-Q4,5,rp_res,annual
rp,2027-Q1,6.5,rp_res,
rp,2027-Q2,6,rp_res,
rp,2027-Q3,5.5,rp_res,
rp,2030-Q4,5,rp_res,annual
rp,2028-Q2,5,rp_res,
rp,2028-Q3,5,rp_res,
rp,2028-Q1,5,rp_res,
r3m,2025-Q4,9.25,r3m_res,
r3m,2026-Q4,7,r3m_res,
r3m,2027-Q4,5,r3m_res,annual
r3m,2028-Q4,5,r3m_res,annual
r3m,2029-Q4,5,r3m_res,annual
r3m,2025-Q3,9.25,r3m_res,
r3m,2026-Q1,8.75,r3m_res,
r3m,2026-Q2,8,r3m_res,
r3m,2026-Q3,7.5,r3m_res,
r3m,2027-Q1,6.5,r3m_res,
r3m,2027-Q2,6,r3m_res,
r3m,2027-Q3,5.5,r3m_res,
r3m,2030-Q4,5,r3m_res,annual
r10y,2025-Q4,11.7,r10y_res,
r10y,2026-Q4,10.7,r10y_res,
r10y,2028-Q4,8,r10y_res,annual
r10y,2029-Q4,7.6,r10y_res,annual
r10y,2026-Q1,11.5,r10y_res,
r10y,2026-Q3,11,r10y_res,
r10y,2026-Q2,11.3,r10y_res,
r10y,2027-Q1,10.3,r10y_res,
r10y,2027-Q2,9.8,r10y_res,
r10y,2027-Q3,9.5,r10y_res,
r10y,2027-Q4,9.3,r10y_res,
r10y,2030-Q4,7,r10y_res,annual
rl,2025-Q4,13.8,rl_res,
rl,2026-Q4,11.3,rl_res,
rl,2028-Q4,10,rl_res,annual
rl,2029-Q4,9.5,rl_res,annual
rl,2025-Q3,14.3,rl_res,
rl,2026-Q1,13,rl_res,
rl,2026-Q2,12.3,rl_res,
rl,2026-Q3,12,rl_res,
rl,2027-Q1,11,rl_res,
rl,2027-Q2,10.7,rl_res,
rl,2027-Q3,10.4,rl_res,
rl,2027-Q4,10,rl_res,
rl,2030-Q4,9,rl_res,annual
rd,2025-Q4,8.2,rd_res,
rd,2026-Q4,6.3,rd_res,
rd,2028-Q4,5,rd_res,annual
rd,2029-Q4,5,rd_res,annual
rd,2025-Q3,8.8,rd_res,
rd,2026-Q1,7.7,rd_res,
rd,2026-Q2,7.3,rd_res,
rd,2026-Q3,6.8,rd_res,
rd,2030-Q4,5,rd_res,annual
