NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ca_xi_ratio_gdp,2025,5.8,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2026,5.4,yy_ca_xi_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2025,-2.1,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2026,-2.2,yy_ca_mi_net_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2025,7,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2026,6.8,yy_ca_xi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2025,-1.9,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2026,-1.829856991,yy_ca_mi2_ratio_gdp_res,
yy_wkr_usd,2024,0.8,yy_wkr_usd_res,
yy_wkr_usd,2025,0.81,yy_wkr_usd_res,
yy_wkr_usd,2026,0.812,yy_wkr_usd_res,
