NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_brel_ratio_gdp,2025,43,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2026,42.1,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2027,42.4,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2028,42.10000000000001,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2029,41.8,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2030,41.5,yy_brel_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2025,38.5,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2026,39,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2027,39.60000000000001,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2028,39.8,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2029,40.0,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2030,40,yy_bexl_oth_ratio_gdp_res,
yy_efir,2025,2,yy_efir_res,
yy_efir,2026,2.8,yy_efir_res,
yy_efir,2027,2.7,yy_efir_res,
yy_efir,2028,2.5,yy_efir_res,
yy_efir,2029,2.5,yy_efir_res,
yy_efir,2030,2.5,yy_efir_res,
yy_pudl_reval,2025,2.2271077575741316,yy_pudl_reval_res,
yy_pudl_reval,2026,0.0,yy_pudl_reval_res,
yy_pudl_reval,2027,-2.220446049250313e-14,yy_pudl_reval_res,
yy_pudl_reval,2028,2.220446049250313e-14,yy_pudl_reval_res,
yy_pudl_reval,2029,0.5,yy_pudl_reval_res,
