NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
xg_p_usd,2028-Q4,0.7,xg_p_usd_res,annual_pct
xg_p_usd,2029-Q4,3.098399058,xg_p_usd_res,annual_pct
xg_p_usd,2025-Q3,0.5,xg_p_usd_res,pct
xg_p_usd,2026-Q2,-0.2,xg_p_usd_res,pct
xg_p_usd,2026-Q4,0.2,xg_p_usd_res,pct
xg_p_usd,2027-Q1,0.8,xg_p_usd_res,pct
mg_p_usd,2028-Q4,2.7,mg_p_usd_res,annual_pct
mg_p_usd,2029-Q4,2.9,mg_p_usd_res,annual_pct
mg_p_usd,2025-Q4,0,mg_p_usd_res,pct
mg_p_usd,2026-Q1,0.2,mg_p_usd_res,pct
mg_p_usd,2026-Q2,0.4,mg_p_usd_res,pct
mg_p_usd,2026-Q3,0.6,mg_p_usd_res,pct
mg_p_usd,2026-Q4,1,mg_p_usd_res,pct
mg_p_usd,2027-Q1,1,mg_p_usd_res,pct
mg_p_usd,2027-Q2,0.8,mg_p_usd_res,pct
mg_p_usd,2027-Q3,0.6,mg_p_usd_res,pct
mg_p_usd,2027-Q4,0.4,mg_p_usd_res,pct
xs_p,2025-Q3,-0.2,xs_p_res,pct
xs_p,2025-Q4,-0.2,xs_p_res,pct
xs_p,2029-Q4,2,xs_p_res,annual_pct
