NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
rp_e,2025-Q3,3,rp_e_res,
rp_e,2025-Q4,2.75,rp_e_res,
rp_e,2026-Q1,2.25,rp_e_res,
rp_e,2026-Q2,2.25,rp_e_res,
rp_e,2026-Q3,2.25,rp_e_res,
rp_e,2026-Q4,2.25,rp_e_res,
rp_e,2027-Q4,2.25,rp_e_res,annual
rp_e,2028-Q4,2.25,rp_e_res,annual
rp_e,2029-Q4,2.25,rp_e_res,annual
r3m_e,2025-Q4,2.1,r3m_e_res,
r3m_e,2026-Q4,1,r3m_e_res,
r3m_e,2027-Q4,1.9,r3m_e_res,annual
r3m_e,2028-Q4,1.8,r3m_e_res,annual
r3m_e,2029-Q4,1.78,r3m_e_res,annual
r3m_e,2025-Q3,2.3,r3m_e_res,
r3m_e,2026-Q2,1.6,r3m_e_res,
r3m_e,2026-Q1,2.05,r3m_e_res,
r3m_e,2026-Q3,1.98,r3m_e_res,
