NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_cpi,2025,2.267628409,yy_cpi_res,pct
yy_cpi,2026,3.427541406,yy_cpi_res,pct
yy_pce_r,2023,2.87300137,yy_pce_r_res,pct
yy_pce_r,2024,1.99573796,yy_pce_r_res,pct
yy_pce_r,2025,2,yy_pce_r_res,pct
yy_pce_r,2026,2,yy_pce_r_res,pct
yy_gce_r,2023,2.1,yy_gce_r_res,pct
yy_gce_r,2024,2.1,yy_gce_r_res,pct
yy_gce_r,2025,2,yy_gce_r_res,pct
yy_gce_r,2026,1.5,yy_gce_r_res,pct
yy_gfcf_r,2023,7.8,yy_gfcf_r_res,pct
yy_gfcf_r,2024,5,yy_gfcf_r_res,pct
yy_gfcf_r,2025,4,yy_gfcf_r_res,pct
yy_gfcf_r,2026,2,yy_gfcf_r_res,pct
yy_xgs_r,2023,7.2475,yy_xgs_r_res,pct
yy_xgs_r,2024,6.031975477,yy_xgs_r_res,pct
yy_xgs_r,2025,8.284674036,yy_xgs_r_res,pct
yy_xgs_r,2026,5.459041638,yy_xgs_r_res,pct
yy_mgs_r,2023,5.064695962,yy_mgs_r_res,pct
yy_mgs_r,2024,3.774306985,yy_mgs_r_res,pct
yy_mgs_r,2025,4.407452678,yy_mgs_r_res,pct
yy_mgs_r,2026,3,yy_mgs_r_res,pct
yy_stk_r,2023,0,yy_stk_r_res,
yy_stk_r,2024,0,yy_stk_r_res,
yy_stk_r,2025,0,yy_stk_r_res,
yy_stk_r,2026,0,yy_stk_r_res,
yy_gdp_r,2024,1.9,yy_gdp_r_res,pct
yy_gdp_r,2025,4.3,yy_gdp_r_res,pct
yy_gdp_r,2026,3.5,yy_gdp_r_res,pct
yy_xr,2025,2.7,yy_xr_res,
yy_xr,2026,2.7,yy_xr_res,
