NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_fdi_in_ratio_gdp,2025,3.6,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2026,3.6,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2027,3.7,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2028,3.7,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2029,3.7,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2030,3.8,yy_fdi_in_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2025,0.2,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2026,0.4,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2027,0.5,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2028,0.2,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2029,0.2,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2030,0.2,yy_fdi_out_ratio_gdp_res,
yy_fdi_in_stock_usd,2025,66.7,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2026,71.6,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2027,76.9,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2028,82.6,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2029,88.7,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2030,95.3,yy_fdi_in_stock_usd_res,
yy_fdi_out_stock_usd,2025,1,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2026,0.4,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2027,-0.3,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2028,-0.6,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2029,-0.9,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2030,-1.3,yy_fdi_out_stock_usd_res,
yy_fpi_in_ratio_gdp,2025,0.9,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2026,0.8,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2027,1,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2028,1,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2029,1,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2030,1.1,yy_fpi_in_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2025,0.2,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2026,0.2,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2027,0.2,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2028,0.2,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2029,0.2,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2030,0,yy_fpi_out_ratio_gdp_res,
yy_reserves_fx_usd,2024,13.4235,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2025,14.4,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2026,15.2,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2027,15.8,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2028,16.2,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2029,16.4,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2030,16.6,yy_reserves_fx_usd_res,
yy_reserves_gold_usd,2024,0.0477,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2025,0.060481467,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2026,0.055786787,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2027,0.052440578,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2028,0.1,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2029,0.1,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2030,0,yy_reserves_gold_usd_res,
yy_cbfa_l_usd,2025,0.062593849,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2026,0.055529686,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2027,0.057195576,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2028,0.058911444,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2029,0.060678787,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2030,0.1,yy_cbfa_l_usd_res,
yy_cbfl_b_usd,2025,0.213066762,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2026,0.172584077,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2027,0.121959415,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2028,0.095128344,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2029,0.097982194,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2030,0.1,yy_cbfl_b_usd_res,
