NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_cpi,2025,3.7,yy_cpi_res,pct
yy_cpi,2026,4.3,yy_cpi_res,pct
yy_cpi,2027,4.051756684,yy_cpi_res,pct
yy_cpi,2028,3.900918553,yy_cpi_res,pct
yy_cpi,2029,3.866974995,yy_cpi_res,pct
yy_cpi,2030,3.7,yy_cpi_res,pct
yy_ppi,2025,2.7,yy_ppi_res,pct
yy_ppi,2026,4.3,yy_ppi_res,pct
yy_ppi,2027,3.957549264,yy_ppi_res,pct
yy_ppi,2028,3.9,yy_ppi_res,pct
yy_ppi,2029,3.9,yy_ppi_res,pct
yy_ppi,2030,3.7,yy_ppi_res,pct
yy_pce_r,2025,3.6,yy_pce_r_res,pct
yy_pce_r,2026,4.3,yy_pce_r_res,pct
yy_pce_r,2027,4.1,yy_pce_r_res,pct
yy_pce_r,2028,4.239789211,yy_pce_r_res,pct
yy_pce_r,2029,4.133713493,yy_pce_r_res,pct
yy_pce_r,2030,3.9,yy_pce_r_res,pct
yy_gce_r,2025,3.3,yy_gce_r_res,pct
yy_gce_r,2026,3.4,yy_gce_r_res,pct
yy_gce_r,2027,3.187884171,yy_gce_r_res,pct
yy_gce_r,2028,3.9,yy_gce_r_res,pct
yy_gce_r,2029,2.958019237,yy_gce_r_res,pct
yy_gce_r,2030,2.7,yy_gce_r_res,pct
yy_gfcf_r,2025,3,yy_gfcf_r_res,pct
yy_gfcf_r,2026,3.9,yy_gfcf_r_res,pct
yy_gfcf_r,2027,4.2,yy_gfcf_r_res,pct
yy_gfcf_r,2028,4.9,yy_gfcf_r_res,pct
yy_gfcf_r,2029,5.3,yy_gfcf_r_res,pct
yy_gfcf_r,2030,5.4,yy_gfcf_r_res,pct
yy_stk_r,2025,18.5,yy_stk_r_res,
yy_stk_r,2026,19.3,yy_stk_r_res,
yy_stk_r,2027,20.1,yy_stk_r_res,
yy_stk_r,2028,20.8,yy_stk_r_res,
yy_stk_r,2029,21.4,yy_stk_r_res,
yy_stk_r,2030,21.8,yy_stk_r_res,
yy_xgs_r,2025,2.9,yy_xgs_r_res,pct
yy_xgs_r,2026,2.7,yy_xgs_r_res,pct
yy_xgs_r,2027,3.60366463,yy_xgs_r_res,pct
yy_xgs_r,2028,3.929039469,yy_xgs_r_res,pct
yy_xgs_r,2029,3.924050826,yy_xgs_r_res,pct
yy_xgs_r,2030,3.9,yy_xgs_r_res,pct
yy_mgs_r,2025,3.5,yy_mgs_r_res,pct
yy_mgs_r,2026,3.4,yy_mgs_r_res,pct
yy_mgs_r,2027,3.845055768,yy_mgs_r_res,pct
yy_mgs_r,2028,4.165761786,yy_mgs_r_res,pct
yy_mgs_r,2029,4.449791974,yy_mgs_r_res,pct
yy_mgs_r,2030,4.5,yy_mgs_r_res,pct
yy_gdp_r,2025,3.4,yy_gdp_r_res,pct
yy_gdp_r,2026,3.9,yy_gdp_r_res,pct
yy_gdp_r,2027,4.1,yy_gdp_r_res,pct
yy_gdp_r,2028,4.3,yy_gdp_r_res,pct
yy_gdp_r,2029,4.1,yy_gdp_r_res,pct
yy_gdp_r,2030,3.9,yy_gdp_r_res,pct
yy_partrate,2025,71.6,yy_partrate_res,
yy_partrate,2026,72.5,yy_partrate_res,
yy_partrate,2027,73.1,yy_partrate_res,
yy_partrate,2028,73.6,yy_partrate_res,
yy_partrate,2029,74,yy_partrate_res,
yy_partrate,2030,74.4,yy_partrate_res,
yy_urate,2025,5.4,yy_urate_res,
yy_urate,2026,5.3,yy_urate_res,
yy_urate,2027,5.3,yy_urate_res,
yy_urate,2028,5.2,yy_urate_res,
yy_urate,2029,5.2,yy_urate_res,
yy_urate,2030,5.3,yy_urate_res,
yy_xr,2025,61.7,yy_xr_res,
yy_xr,2026,63.34,yy_xr_res,
yy_xr,2027,64.07,yy_xr_res,
yy_xr,2028,65.5,yy_xr_res,
yy_xr,2029,66.44,yy_xr_res,
yy_xr,2030,67.25,yy_xr_res,
yy_xg_r,2024,5.5,yy_xg_r_res,pct
yy_xg_r,2025,5.2,yy_xg_r_res,pct
yy_xg_r,2026,2.5,yy_xg_r_res,pct
yy_xg_r,2027,5.1,yy_xg_r_res,pct
yy_xg_r,2028,5.7,yy_xg_r_res,pct
yy_xg_r,2029,8.5,yy_xg_r_res,pct
yy_xg_r,2030,6,yy_xg_r_res,pct
yy_mg_r,2024,3.3,yy_mg_r_res,pct
yy_mg_r,2025,2.6,yy_mg_r_res,pct
yy_mg_r,2026,5.4,yy_mg_r_res,pct
yy_mg_r,2027,3.3,yy_mg_r_res,pct
yy_mg_r,2028,3.3,yy_mg_r_res,pct
yy_mg_r,2029,2.9,yy_mg_r_res,pct
yy_mg_r,2030,3.3,yy_mg_r_res,pct
