NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_brel_ratio_gdp,2025,16.3,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2026,16,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2027,15.9,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2028,15.6,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2029,15.3,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2030,15,yy_brel_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2025,15.3,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2026,14.6,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2027,14.2,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2028,14,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2029,13.5,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2030,13.1,yy_bexl_oth_ratio_gdp_res,
yy_efir,2025,6.8,yy_efir_res,
yy_efir,2026,7.3,yy_efir_res,
yy_efir,2027,7.4,yy_efir_res,
yy_efir,2028,7.6,yy_efir_res,
yy_efir,2029,7.8,yy_efir_res,
yy_efir,2030,7.9,yy_efir_res,
yy_pudl_reval,2025,0,yy_pudl_reval_res,
yy_pudl_reval,2026,0.6,yy_pudl_reval_res,
yy_pudl_reval,2027,0.7,yy_pudl_reval_res,
yy_pudl_reval,2028,0,yy_pudl_reval_res,
yy_pudl_reval,2029,-2.3,yy_pudl_reval_res,
yy_pudl_reval,2030,-2,yy_pudl_reval_res,
