NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_gdpp_r,2025,3.6,yy_gdpp_r_res,pct
yy_gdpp_r,2026,3.9,yy_gdpp_r_res,pct
yy_gdpp_r,2027,4.2,yy_gdpp_r_res,pct
yy_gdpp_r,2028,4.4,yy_gdpp_r_res,pct
yy_gdpp_r,2029,4.1,yy_gdpp_r_res,pct
yy_gdpp_r,2030,4,yy_gdpp_r_res,pct
yy_agri_r_ratio_gdpp_r,2025,4.8,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2026,4.8,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2027,4.8,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2028,4.8,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2029,4.8,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2030,4.9,yy_agri_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2025,30.5,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2026,30,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2027,29.6,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2028,29.2,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2029,28.9,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2030,28.5,yy_ind_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2025,64.7,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2026,65.1,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2027,65.5,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2028,65.9,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2029,66.3,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2030,66.6,yy_serv_r_ratio_gdpp_r_res,
yy_man_r_ratio_ind_r,2025,43.9,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2026,44.4,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2027,44.8,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2028,45.3,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2029,45.7,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2030,46.2,yy_man_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2025,4.6,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2026,4.4,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2027,4.1,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2028,4,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2029,3.8,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2030,3.6,yy_min_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2025,45.3,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2026,45,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2027,44.7,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2028,44.3,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2029,44,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2030,43.7,yy_cons_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2025,6.1,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2026,6.2,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2027,6.3,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2028,6.4,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2029,6.4,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2030,6.4,yy_util_r_ratio_ind_r_res,
yy_pas_r_ratio_serv_r,2025,8.3,yy_pas_r_ratio_serv_r_res,
yy_pas_r_ratio_serv_r,2026,8,yy_pas_r_ratio_serv_r_res,
yy_pas_r_ratio_serv_r,2027,7.7,yy_pas_r_ratio_serv_r_res,
yy_pas_r_ratio_serv_r,2028,7.3,yy_pas_r_ratio_serv_r_res,
yy_pas_r_ratio_serv_r,2029,7,yy_pas_r_ratio_serv_r_res,
yy_pas_r_ratio_serv_r,2030,6.8,yy_pas_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2025,7.1,yy_fin_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2026,7.4,yy_fin_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2027,7.6,yy_fin_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2028,7.9,yy_fin_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2029,7.8,yy_fin_r_ratio_serv_r_res,
yy_fin_r_ratio_serv_r,2030,7.8,yy_fin_r_ratio_serv_r_res,
yy_wrt_r_ratio_serv_r,2025,20,yy_wrt_r_ratio_serv_r_res,
yy_wrt_r_ratio_serv_r,2026,20.2,yy_wrt_r_ratio_serv_r_res,
yy_wrt_r_ratio_serv_r,2027,20.3,yy_wrt_r_ratio_serv_r_res,
yy_wrt_r_ratio_serv_r,2028,20.4,yy_wrt_r_ratio_serv_r_res,
yy_wrt_r_ratio_serv_r,2029,20.5,yy_wrt_r_ratio_serv_r_res,
yy_wrt_r_ratio_serv_r,2030,20.5,yy_wrt_r_ratio_serv_r_res,
yy_ict_r_ratio_serv_r,2025,1.6,yy_ict_r_ratio_serv_r_res,
yy_ict_r_ratio_serv_r,2026,1.5,yy_ict_r_ratio_serv_r_res,
yy_ict_r_ratio_serv_r,2027,1.5,yy_ict_r_ratio_serv_r_res,
yy_ict_r_ratio_serv_r,2028,1.5,yy_ict_r_ratio_serv_r_res,
yy_ict_r_ratio_serv_r,2029,1.4,yy_ict_r_ratio_serv_r_res,
yy_ict_r_ratio_serv_r,2030,1.4,yy_ict_r_ratio_serv_r_res,
yy_real_r_ratio_serv_r,2025,12.3,yy_real_r_ratio_serv_r_res,
yy_real_r_ratio_serv_r,2026,12.2,yy_real_r_ratio_serv_r_res,
yy_real_r_ratio_serv_r,2027,12.1,yy_real_r_ratio_serv_r_res,
yy_real_r_ratio_serv_r,2028,11.9,yy_real_r_ratio_serv_r_res,
yy_real_r_ratio_serv_r,2029,11.8,yy_real_r_ratio_serv_r_res,
yy_real_r_ratio_serv_r,2030,11.7,yy_real_r_ratio_serv_r_res,
yy_acc_r_ratio_serv_r,2025,14.1,yy_acc_r_ratio_serv_r_res,
yy_acc_r_ratio_serv_r,2026,14.3,yy_acc_r_ratio_serv_r_res,
yy_acc_r_ratio_serv_r,2027,14.6,yy_acc_r_ratio_serv_r_res,
yy_acc_r_ratio_serv_r,2028,14.9,yy_acc_r_ratio_serv_r_res,
yy_acc_r_ratio_serv_r,2029,15.4,yy_acc_r_ratio_serv_r_res,
yy_acc_r_ratio_serv_r,2030,15.8,yy_acc_r_ratio_serv_r_res,
yy_trans_r_ratio_serv_r,2025,12.3,yy_trans_r_ratio_serv_r_res,
yy_trans_r_ratio_serv_r,2026,12.4,yy_trans_r_ratio_serv_r_res,
yy_trans_r_ratio_serv_r,2027,12.4,yy_trans_r_ratio_serv_r_res,
yy_trans_r_ratio_serv_r,2028,12.4,yy_trans_r_ratio_serv_r_res,
yy_trans_r_ratio_serv_r,2029,12.5,yy_trans_r_ratio_serv_r_res,
yy_trans_r_ratio_serv_r,2030,12.6,yy_trans_r_ratio_serv_r_res,
