NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
cpi,2025-Q4,0.6,cpi_res,pct
cpi,2026-Q1,0.6,cpi_res,pct
cpi,2026-Q2,0.6,cpi_res,pct
cpi,2026-Q3,0.6,cpi_res,pct
cpi,2026-Q4,0.5809794002,cpi_res,pct
cpi,2027-Q4,2.6,cpi_res,annual_pct
cpi,2028-Q4,2.5,cpi_res,annual_pct
cpi,2029-Q4,2.4,cpi_res,annual_pct
cpi,2030-Q4,2.2,cpi_res,annual_pct
cpi,2045-Q4,2,cpi_res,annual_pct
cpi,2051-Q4,1.7,cpi_res,annual_pct
cpi,2052-Q4,1.7,cpi_res,annual_pct
ppi,2025-Q3,0.5,ppi_res,pct
ppi,2025-Q4,0.5,ppi_res,pct
ppi,2026-Q1,0.7,ppi_res,pct
ppi,2026-Q2,0.8337149836,ppi_res,pct
ppi,2026-Q3,0.7617243436,ppi_res,pct
ppi,2026-Q4,0.6893164738,ppi_res,pct
ppi,2027-Q4,2.733668607,ppi_res,annual_pct
ppi,2028-Q4,2.746559263,ppi_res,annual_pct
ppi,2029-Q4,2.567249122,ppi_res,annual_pct
ppi,2030-Q4,2.5,ppi_res,annual_pct
ppi,2051-Q4,2.2,ppi_res,annual_pct
pce_r,2025-Q3,1.3,pce_r_res,pct
pce_r,2025-Q4,1.5,pce_r_res,pct
pce_r,2026-Q1,-0.4,pce_r_res,pct
pce_r,2026-Q2,0.1,pce_r_res,pct
pce_r,2026-Q3,0.1,pce_r_res,pct
pce_r,2026-Q4,0.1,pce_r_res,pct
pce_r,2027-Q4,0.5,pce_r_res,pct
pce_r,2028-Q4,2.2,pce_r_res,annual_pct
pce_r,2029-Q4,2.2,pce_r_res,annual_pct
pce_r,2030-Q4,2.3,pce_r_res,annual_pct
pce_r,2027-Q1,0.8,pce_r_res,pct
pce_r,2027-Q2,0.8,pce_r_res,pct
pce_r,2027-Q3,0.8,pce_r_res,pct
pce_r,2057-Q4,1.6,pce_r_res,annual_pct
pce_r,2058-Q4,1.6,pce_r_res,annual_pct
pce_r,2059-Q4,1.6,pce_r_res,annual_pct
pce_r,2060-Q4,1.6,pce_r_res,annual_pct
gce_r,2025-Q3,0.5,gce_r_res,pct
gce_r,2025-Q4,0.5,gce_r_res,pct
gce_r,2026-Q1,0.8,gce_r_res,pct
gce_r,2026-Q2,1,gce_r_res,pct
gce_r,2026-Q3,1,gce_r_res,pct
gce_r,2026-Q4,1,gce_r_res,pct
gce_r,2027-Q4,0.5,gce_r_res,pct
gce_r,2028-Q4,2.8,gce_r_res,annual_pct
gce_r,2029-Q4,2.8,gce_r_res,annual_pct
gce_r,2030-Q4,2.8,gce_r_res,annual_pct
gce_r,2027-Q1,0.5,gce_r_res,pct
gce_r,2027-Q2,0.5,gce_r_res,pct
gce_r,2027-Q3,0.5,gce_r_res,pct
gfcf_r,2025-Q3,1,gfcf_r_res,pct
gfcf_r,2025-Q4,1,gfcf_r_res,pct
gfcf_r,2026-Q1,0.9,gfcf_r_res,pct
gfcf_r,2026-Q2,1,gfcf_r_res,pct
gfcf_r,2026-Q3,1,gfcf_r_res,pct
gfcf_r,2026-Q4,1,gfcf_r_res,pct
gfcf_r,2027-Q4,0.7,gfcf_r_res,pct
gfcf_r,2028-Q4,3.4,gfcf_r_res,annual_pct
gfcf_r,2029-Q4,3.4,gfcf_r_res,annual_pct
gfcf_r,2027-Q1,0.8,gfcf_r_res,pct
gfcf_r,2027-Q2,0.7,gfcf_r_res,pct
gfcf_r,2027-Q3,0.7,gfcf_r_res,pct
gfcf_r,2030-Q4,3.3,gfcf_r_res,annual_pct
gfcf_r,2051-Q4,1.8,gfcf_r_res,annual_pct
stk_r,2025-Q3,0,stk_r_res,
stk_r,2025-Q4,0,stk_r_res,
stk_r,2026-Q1,0,stk_r_res,
stk_r,2026-Q2,0,stk_r_res,
stk_r,2026-Q3,0,stk_r_res,
stk_r,2026-Q4,0,stk_r_res,
stk_r,2028-Q4,0.1,stk_r_res,annual
stk_r,2029-Q4,0.1,stk_r_res,annual
xg_r,2025-Q3,0,xg_r_res,pct
xg_r,2025-Q4,0,xg_r_res,pct
xg_r,2026-Q1,1.5,xg_r_res,pct
xg_r,2026-Q2,1.5,xg_r_res,pct
xg_r,2026-Q3,1.3,xg_r_res,pct
xg_r,2026-Q4,1.2,xg_r_res,pct
xg_r,2027-Q4,0.3,xg_r_res,pct
xg_r,2028-Q4,3.1,xg_r_res,annual_pct
xg_r,2029-Q4,3.2,xg_r_res,annual_pct
xg_r,2030-Q4,3.3,xg_r_res,annual_pct
xg_r,2027-Q1,0.3,xg_r_res,pct
xg_r,2027-Q2,0.3,xg_r_res,pct
xg_r,2027-Q3,0.3,xg_r_res,pct
mg_r,2025-Q3,0.5,mg_r_res,pct
mg_r,2025-Q4,0.5,mg_r_res,pct
mg_r,2026-Q1,2,mg_r_res,pct
mg_r,2026-Q2,2,mg_r_res,pct
mg_r,2026-Q3,1.2,mg_r_res,pct
mg_r,2026-Q4,1.2,mg_r_res,pct
mg_r,2027-Q4,0.7,mg_r_res,pct
mg_r,2028-Q4,3.3,mg_r_res,annual_pct
mg_r,2029-Q4,3.3,mg_r_res,annual_pct
mg_r,2030-Q4,3,mg_r_res,annual_pct
mg_r,2027-Q1,0.7,mg_r_res,pct
mg_r,2027-Q2,0.7,mg_r_res,pct
mg_r,2027-Q3,0.6,mg_r_res,pct
xs_r,2025-Q3,0,xs_r_res,pct
xs_r,2025-Q4,0,xs_r_res,pct
xs_r,2026-Q1,1.5,xs_r_res,pct
xs_r,2026-Q2,1.3,xs_r_res,pct
xs_r,2026-Q3,1.3,xs_r_res,pct
xs_r,2026-Q4,1,xs_r_res,pct
xs_r,2027-Q4,3.2,xs_r_res,annual_pct
xs_r,2028-Q4,3.1,xs_r_res,annual_pct
xs_r,2029-Q4,4,xs_r_res,annual_pct
xs_r,2030-Q4,4,xs_r_res,annual_pct
xs_r,2037-Q4,4,xs_r_res,annual_pct
