NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
r10y,2025-Q4,3.555666667,r10y_res,annual
r10y,2026-Q4,3.4,r10y_res,
r10y,2027-Q4,3.3,r10y_res,
r10y,2028-Q4,3.7,r10y_res,annual
r10y,2029-Q4,3.2,r10y_res,annual
r10y,2026-Q1,3.5,r10y_res,
r10y,2026-Q2,3.4,r10y_res,
r10y,2026-Q3,3.4,r10y_res,
r10y,2027-Q1,3.3,r10y_res,
r10y,2027-Q2,3.3,r10y_res,
r10y,2027-Q3,3.3,r10y_res,
r10y,2030-Q4,3.15,r10y_res,annual
rl,2025-Q4,7.5,rl_res,annual
rl,2026-Q4,6.0,rl_res,annual
rl,2027-Q4,5.5,rl_res,annual
rl,2028-Q4,5.0,rl_res,annual
rl,2029-Q4,4.8,rl_res,annual
rl,2030-Q4,4.3,rl_res,annual
rd,2025-Q4,3.3,rd_res,annual
rd,2026-Q4,2.8,rd_res,annual
rd,2027-Q4,2.4,rd_res,annual
rd,2028-Q4,2.3,rd_res,annual
rd,2029-Q4,2.2,rd_res,annual
rd,2030-Q4,2.2,rd_res,annual
