NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_edebt_oc_bb_usd,2024,8.7,yy_edebt_oc_bb_usd_res,
yy_edebt_oc_bb_usd,2025,6.8,yy_edebt_oc_bb_usd_res,
yy_edebt_oc_bb_usd,2026,6.8,yy_edebt_oc_bb_usd_res,
yy_edebt_oc_bb_usd,2027,5.5,yy_edebt_oc_bb_usd_res,
yy_edebt_oc_bb_usd,2028,5,yy_edebt_oc_bb_usd_res,
yy_edebt_oc_bb_usd,2029,3.5,yy_edebt_oc_bb_usd_res,
yy_edebt_oc_bb_usd,2030,3,yy_edebt_oc_bb_usd_res,
yy_edebt_pc_bb_usd,2024,8.5,yy_edebt_pc_bb_usd_res,
yy_edebt_pc_bb_usd,2025,9,yy_edebt_pc_bb_usd_res,
yy_edebt_pc_bb_usd,2026,7.385,yy_edebt_pc_bb_usd_res,
yy_edebt_pc_bb_usd,2027,7.1,yy_edebt_pc_bb_usd_res,
yy_edebt_pc_bb_usd,2028,6.9,yy_edebt_pc_bb_usd_res,
yy_edebt_pc_bb_usd,2029,7.4,yy_edebt_pc_bb_usd_res,
yy_edebt_pc_bb_usd,2030,11,yy_edebt_pc_bb_usd_res,
yy_edebt_imf_bb_gra_sdr,2025,2.146,yy_edebt_imf_bb_gra_sdr_res,
yy_edebt_imf_bb_gra_sdr,2026,2.446,yy_edebt_imf_bb_gra_sdr_res,
yy_edebt_imf_bb_gra_sdr,2027,1.222,yy_edebt_imf_bb_gra_sdr_res,
yy_edebt_imf_bb_gra_sdr,2028,0,yy_edebt_imf_bb_gra_sdr_res,
yy_edebt_imf_bb_gra_sdr,2029,0,yy_edebt_imf_bb_gra_sdr_res,
yy_edebt_imf_bb_gra_sdr,2030,0,yy_edebt_imf_bb_gra_sdr_res,
yy_edebt_imf_bb_loans_sdr,2025,0,yy_edebt_imf_bb_loans_sdr_res,
yy_edebt_imf_bb_loans_sdr,2026,0,yy_edebt_imf_bb_loans_sdr_res,
yy_edebt_imf_bb_loans_sdr,2027,0,yy_edebt_imf_bb_loans_sdr_res,
yy_edebt_imf_bb_loans_sdr,2028,0,yy_edebt_imf_bb_loans_sdr_res,
yy_edebt_imf_bb_loans_sdr,2029,0,yy_edebt_imf_bb_loans_sdr_res,
yy_edebt_imf_bb_loans_sdr,2030,0,yy_edebt_imf_bb_loans_sdr_res,
yy_edebt_oc_rpdb_usd,2024,8.4820252,yy_edebt_oc_rpdb_usd_res,
yy_edebt_oc_rpdb_usd,2025,4.655141882,yy_edebt_oc_rpdb_usd_res,
yy_edebt_oc_rpdb_usd,2026,8.3,yy_edebt_oc_rpdb_usd_res,
yy_edebt_oc_rpdb_usd,2027,5.804551562,yy_edebt_oc_rpdb_usd_res,
yy_edebt_oc_rpdb_usd,2028,4,yy_edebt_oc_rpdb_usd_res,
yy_edebt_oc_rpdb_usd,2029,5,yy_edebt_oc_rpdb_usd_res,
yy_edebt_oc_rpdb_usd,2030,5,yy_edebt_oc_rpdb_usd_res,
yy_edebt_pc_rpdb_usd,2024,6.7923754,yy_edebt_pc_rpdb_usd_res,
yy_edebt_pc_rpdb_usd,2025,4.323875828,yy_edebt_pc_rpdb_usd_res,
yy_edebt_pc_rpdb_usd,2026,6.3,yy_edebt_pc_rpdb_usd_res,
yy_edebt_pc_rpdb_usd,2027,4.115023446,yy_edebt_pc_rpdb_usd_res,
yy_edebt_pc_rpdb_usd,2028,4.095842549,yy_edebt_pc_rpdb_usd_res,
yy_edebt_pc_rpdb_usd,2029,4.184105455,yy_edebt_pc_rpdb_usd_res,
yy_edebt_pc_rpdb_usd,2030,5,yy_edebt_pc_rpdb_usd_res,
yy_edebt_imf_rpdb_gra_sdr,2025,2.4235,yy_edebt_imf_rpdb_gra_sdr_res,
yy_edebt_imf_rpdb_gra_sdr,2026,1.722,yy_edebt_imf_rpdb_gra_sdr_res,
yy_edebt_imf_rpdb_gra_sdr,2027,1.148,yy_edebt_imf_rpdb_gra_sdr_res,
yy_edebt_imf_rpdb_gra_sdr,2028,0.692,yy_edebt_imf_rpdb_gra_sdr_res,
yy_edebt_imf_rpdb_gra_sdr,2029,0.68465,yy_edebt_imf_rpdb_gra_sdr_res,
yy_edebt_imf_rpdb_gra_sdr,2030,0.2,yy_edebt_imf_rpdb_gra_sdr_res,
yy_edebt_imf_rpdb_loans_sdr,2025,0,yy_edebt_imf_rpdb_loans_sdr_res,
yy_edebt_imf_rpdb_loans_sdr,2026,0,yy_edebt_imf_rpdb_loans_sdr_res,
yy_edebt_imf_rpdb_loans_sdr,2027,0,yy_edebt_imf_rpdb_loans_sdr_res,
yy_edebt_imf_rpdb_loans_sdr,2028,0,yy_edebt_imf_rpdb_loans_sdr_res,
yy_edebt_imf_rpdb_loans_sdr,2029,0,yy_edebt_imf_rpdb_loans_sdr_res,
yy_edebt_imf_rpdb_loans_sdr,2030,0,yy_edebt_imf_rpdb_loans_sdr_res,
yy_edebt_arr_ppl_oc_miss_usd,2024,0,yy_edebt_arr_ppl_oc_miss_usd_res,
yy_edebt_arr_ppl_oc_miss_usd,2025,0,yy_edebt_arr_ppl_oc_miss_usd_res,
yy_edebt_arr_ppl_oc_miss_usd,2026,0,yy_edebt_arr_ppl_oc_miss_usd_res,
yy_edebt_arr_ppl_oc_miss_usd,2027,0,yy_edebt_arr_ppl_oc_miss_usd_res,
yy_edebt_arr_ppl_oc_miss_usd,2028,0,yy_edebt_arr_ppl_oc_miss_usd_res,
yy_edebt_arr_ppl_oc_miss_usd,2029,0,yy_edebt_arr_ppl_oc_miss_usd_res,
yy_edebt_arr_ppl_pc_miss_usd,2024,0,yy_edebt_arr_ppl_pc_miss_usd_res,
yy_edebt_arr_ppl_pc_miss_usd,2025,0,yy_edebt_arr_ppl_pc_miss_usd_res,
yy_edebt_arr_ppl_pc_miss_usd,2026,0,yy_edebt_arr_ppl_pc_miss_usd_res,
yy_edebt_arr_ppl_pc_miss_usd,2027,0,yy_edebt_arr_ppl_pc_miss_usd_res,
yy_edebt_arr_ppl_pc_miss_usd,2028,0,yy_edebt_arr_ppl_pc_miss_usd_res,
yy_edebt_arr_ppl_pc_miss_usd,2029,0,yy_edebt_arr_ppl_pc_miss_usd_res,
yy_edebt_arr_ppl_oc_elim_usd,2024,3.00E-07,yy_edebt_arr_ppl_oc_elim_usd_res,
yy_edebt_arr_ppl_oc_elim_usd,2025,3.00E-07,yy_edebt_arr_ppl_oc_elim_usd_res,
yy_edebt_arr_ppl_oc_elim_usd,2026,3.00E-07,yy_edebt_arr_ppl_oc_elim_usd_res,
yy_edebt_arr_ppl_oc_elim_usd,2027,3.00E-07,yy_edebt_arr_ppl_oc_elim_usd_res,
yy_edebt_arr_ppl_oc_elim_usd,2028,3.00E-07,yy_edebt_arr_ppl_oc_elim_usd_res,
yy_edebt_arr_ppl_oc_elim_usd,2029,3.00E-07,yy_edebt_arr_ppl_oc_elim_usd_res,
yy_edebt_arr_ppl_pc_elim_usd,2024,0,yy_edebt_arr_ppl_pc_elim_usd_res,
yy_edebt_arr_ppl_pc_elim_usd,2025,0,yy_edebt_arr_ppl_pc_elim_usd_res,
yy_edebt_arr_ppl_pc_elim_usd,2026,0,yy_edebt_arr_ppl_pc_elim_usd_res,
yy_edebt_arr_ppl_pc_elim_usd,2027,0,yy_edebt_arr_ppl_pc_elim_usd_res,
yy_edebt_arr_ppl_pc_elim_usd,2028,0,yy_edebt_arr_ppl_pc_elim_usd_res,
yy_edebt_arr_ppl_pc_elim_usd,2029,0,yy_edebt_arr_ppl_pc_elim_usd_res,
yy_edebt_arr_int_oc_miss_usd,2024,0,yy_edebt_arr_int_oc_miss_usd_res,
yy_edebt_arr_int_oc_miss_usd,2025,0,yy_edebt_arr_int_oc_miss_usd_res,
yy_edebt_arr_int_oc_miss_usd,2026,0,yy_edebt_arr_int_oc_miss_usd_res,
yy_edebt_arr_int_oc_miss_usd,2027,0,yy_edebt_arr_int_oc_miss_usd_res,
yy_edebt_arr_int_oc_miss_usd,2028,0,yy_edebt_arr_int_oc_miss_usd_res,
yy_edebt_arr_int_oc_miss_usd,2029,0,yy_edebt_arr_int_oc_miss_usd_res,
yy_edebt_arr_int_pc_miss_usd,2024,0,yy_edebt_arr_int_pc_miss_usd_res,
yy_edebt_arr_int_pc_miss_usd,2025,0,yy_edebt_arr_int_pc_miss_usd_res,
yy_edebt_arr_int_pc_miss_usd,2026,0,yy_edebt_arr_int_pc_miss_usd_res,
yy_edebt_arr_int_pc_miss_usd,2027,0,yy_edebt_arr_int_pc_miss_usd_res,
yy_edebt_arr_int_pc_miss_usd,2028,0,yy_edebt_arr_int_pc_miss_usd_res,
yy_edebt_arr_int_pc_miss_usd,2029,0,yy_edebt_arr_int_pc_miss_usd_res,
yy_edebt_arr_int_oc_elim_usd,2024,0,yy_edebt_arr_int_oc_elim_usd_res,
yy_edebt_arr_int_oc_elim_usd,2025,0,yy_edebt_arr_int_oc_elim_usd_res,
yy_edebt_arr_int_oc_elim_usd,2026,0,yy_edebt_arr_int_oc_elim_usd_res,
yy_edebt_arr_int_oc_elim_usd,2027,0,yy_edebt_arr_int_oc_elim_usd_res,
yy_edebt_arr_int_oc_elim_usd,2028,0,yy_edebt_arr_int_oc_elim_usd_res,
yy_edebt_arr_int_oc_elim_usd,2029,0,yy_edebt_arr_int_oc_elim_usd_res,
yy_edebt_arr_int_pc_elim_usd,2024,0,yy_edebt_arr_int_pc_elim_usd_res,
yy_edebt_arr_int_pc_elim_usd,2025,0,yy_edebt_arr_int_pc_elim_usd_res,
yy_edebt_arr_int_pc_elim_usd,2026,0,yy_edebt_arr_int_pc_elim_usd_res,
yy_edebt_arr_int_pc_elim_usd,2027,0,yy_edebt_arr_int_pc_elim_usd_res,
yy_edebt_arr_int_pc_elim_usd,2028,0,yy_edebt_arr_int_pc_elim_usd_res,
yy_edebt_arr_int_pc_elim_usd,2029,0,yy_edebt_arr_int_pc_elim_usd_res,
yy_edebt_oc_brs_usd,2024,0.0000002,yy_edebt_oc_brs_usd_res,
yy_edebt_oc_brs_usd,2025,0.0000002,yy_edebt_oc_brs_usd_res,
yy_edebt_oc_brs_usd,2026,0.0000002,yy_edebt_oc_brs_usd_res,
yy_edebt_oc_brs_usd,2027,0.0000002,yy_edebt_oc_brs_usd_res,
yy_edebt_oc_brs_usd,2028,0.0000002,yy_edebt_oc_brs_usd_res,
yy_edebt_oc_brs_usd,2029,0.0000002,yy_edebt_oc_brs_usd_res,
yy_edebt_pc_brs_usd,2024,0.0350004,yy_edebt_pc_brs_usd_res,
yy_edebt_pc_brs_usd,2025,0.0350004,yy_edebt_pc_brs_usd_res,
yy_edebt_pc_brs_usd,2026,0.0350004,yy_edebt_pc_brs_usd_res,
yy_edebt_pc_brs_usd,2027,0.0350004,yy_edebt_pc_brs_usd_res,
yy_edebt_pc_brs_usd,2028,0.0350004,yy_edebt_pc_brs_usd_res,
yy_edebt_pc_brs_usd,2029,0.0350004,yy_edebt_pc_brs_usd_res,
yy_edebt_imf_brs_usd,2024,0.0000002,yy_edebt_imf_brs_usd_res,
yy_edebt_imf_brs_usd,2025,0.0000002,yy_edebt_imf_brs_usd_res,
yy_edebt_imf_brs_usd,2026,0.0000002,yy_edebt_imf_brs_usd_res,
yy_edebt_imf_brs_usd,2027,0.0000002,yy_edebt_imf_brs_usd_res,
yy_edebt_imf_brs_usd,2028,0.0000002,yy_edebt_imf_brs_usd_res,
yy_edebt_imf_brs_usd,2029,0.0000002,yy_edebt_imf_brs_usd_res,
yy_edebt_oc_rprs_usd,2024,0.0000002,yy_edebt_oc_rprs_usd_res,
yy_edebt_oc_rprs_usd,2025,0.0000002,yy_edebt_oc_rprs_usd_res,
yy_edebt_oc_rprs_usd,2026,0.0000002,yy_edebt_oc_rprs_usd_res,
yy_edebt_oc_rprs_usd,2027,0.0000002,yy_edebt_oc_rprs_usd_res,
yy_edebt_oc_rprs_usd,2028,0.0000002,yy_edebt_oc_rprs_usd_res,
yy_edebt_oc_rprs_usd,2029,0.0000002,yy_edebt_oc_rprs_usd_res,
yy_edebt_pc_rprs_usd,2024,0.0000004,yy_edebt_pc_rprs_usd_res,
yy_edebt_pc_rprs_usd,2025,0.0000004,yy_edebt_pc_rprs_usd_res,
yy_edebt_pc_rprs_usd,2026,0.0000004,yy_edebt_pc_rprs_usd_res,
yy_edebt_pc_rprs_usd,2027,0.0000004,yy_edebt_pc_rprs_usd_res,
yy_edebt_pc_rprs_usd,2028,0.0000004,yy_edebt_pc_rprs_usd_res,
yy_edebt_pc_rprs_usd,2029,0.0000004,yy_edebt_pc_rprs_usd_res,
yy_edebt_imf_rprs_usd,2024,0.0000001,yy_edebt_imf_rprs_usd_res,
yy_edebt_imf_rprs_usd,2025,0.0000001,yy_edebt_imf_rprs_usd_res,
yy_edebt_imf_rprs_usd,2026,0.0000001,yy_edebt_imf_rprs_usd_res,
yy_edebt_imf_rprs_usd,2027,0.0000001,yy_edebt_imf_rprs_usd_res,
yy_edebt_imf_rprs_usd,2028,0.0000001,yy_edebt_imf_rprs_usd_res,
yy_edebt_imf_rprs_usd,2029,0.0000001,yy_edebt_imf_rprs_usd_res,
yy_edebt_oc_forg_usd,2024,6.0000001,yy_edebt_oc_forg_usd_res,
