NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ca_xgs_usd,2025,8.265087681,yy_ca_xgs_usd_res,pct
yy_ca_xgs_usd,2026,9.853071954,yy_ca_xgs_usd_res,pct
yy_ca_xg_ratio_ca_xgs,2025,60.0083792,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_xg_ratio_ca_xgs,2026,62.39987327,yy_ca_xg_ratio_ca_xgs_res,
yy_ca_mgs_usd,2025,0.374279629,yy_ca_mgs_usd_res,pct
yy_ca_mgs_usd,2026,13.11761923,yy_ca_mgs_usd_res,pct
yy_ca_mg_ratio_ca_mgs,2025,54.44488617,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_mg_ratio_ca_mgs,2026,53.81602351,yy_ca_mg_ratio_ca_mgs_res,
yy_ca_xi_ratio_gdp,2025,3.412722195,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2026,3.27101712,yy_ca_xi_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2025,-6.904531383,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2026,-6.461886342,yy_ca_mi_net_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2025,7.073571408,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2026,7.073571408,yy_ca_xi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2025,-0.537531206,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2026,-0.537629837,yy_ca_mi2_ratio_gdp_res,
yy_xg_fob_usd,2025,10.214,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2026,14.24,yy_xg_fob_usd_res,pct
yy_mg_cif_usd,2025,-1.695046581,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2026,11.80610739,yy_mg_cif_usd_res,pct
yy_wkr_usd,2025,0,yy_wkr_usd_res,
yy_wkr_usd,2026,0,yy_wkr_usd_res,
