NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_brel_ratio_gdp,2025,42.5,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2026,42.5,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2027,42.3,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2028,42,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2029,41.7,yy_brel_ratio_gdp_res,
yy_brel_ratio_gdp,2030,41.6,yy_brel_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2025,42.72,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2026,42.89,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2027,43,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2028,42.79,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2029,42.5,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2030,42.5,yy_bexl_oth_ratio_gdp_res,
yy_efir,2025,2.668097825,yy_efir_res,
yy_efir,2026,2.3,yy_efir_res,
yy_efir,2027,1.955708495,yy_efir_res,
yy_efir,2028,1.797239116,yy_efir_res,
yy_efir,2029,1.744281223,yy_efir_res,
yy_efir,2030,1.7,yy_efir_res,
yy_pudl_reval,2025,2.1,yy_pudl_reval_res,
yy_pudl_reval,2026,0.4,yy_pudl_reval_res,
yy_pudl_reval,2027,0.3,yy_pudl_reval_res,
yy_pudl_reval,2028,1,yy_pudl_reval_res,
yy_pudl_reval,2029,0.7,yy_pudl_reval_res,
yy_pudl_reval,2030,1.2,yy_pudl_reval_res,
