NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_fdi_in_ratio_gdp,2023,4.152844357,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2024,4.619403088,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2025,4.294981946,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2026,4.003341656,yy_fdi_in_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2023,0.826893788,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2024,0.764361662,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2025,0.710680466,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2026,0.662423439,yy_fdi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2023,-0.330757515,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2024,-0.299098042,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2025,-0.278092356,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2026,-0.259209172,yy_fpi_out_ratio_gdp_res,
yy_reserves_fx_usd,2025,1.652770962,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2026,1.686349957,yy_reserves_fx_usd_res,
yy_reserves_gold_usd,2025,0.00172,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2026,0.00172,yy_reserves_gold_usd_res,
yy_fdi_in_stock_usd,2023,5.9808,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2024,6.2588,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2025,6.5368,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2026,6.8148,yy_fdi_in_stock_usd_res,
yy_fdi_out_stock_usd,2023,0.0804,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2024,0.0344,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2025,-0.0116,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2026,-0.0576,yy_fdi_out_stock_usd_res,
yy_fpi_in_ratio_gdp,2023,0.178404245,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2024,0.16128226,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2025,0.258132195,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2026,0.240625503,yy_fpi_in_ratio_gdp_res,
