NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_gdpp_r,2024,3.3,yy_gdpp_r_res,pct
yy_gdpp_r,2025,2,yy_gdpp_r_res,pct
yy_gdpp_r,2026,2,yy_gdpp_r_res,pct
yy_agri_r_ratio_gdpp_r,2024,10.72361806,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2025,10.82875157,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2026,10.91368295,yy_agri_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2024,17.32774745,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2025,17.75244714,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2026,18.15274742,yy_ind_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2024,71.9486345,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2025,71.41880129,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2026,70.93356963,yy_serv_r_ratio_gdpp_r_res,
yy_man_r_ratio_ind_r,2024,65.17169422,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2025,63.61256278,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2026,62.20979294,yy_man_r_ratio_ind_r_res,
