NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_xr_e,2025,630.7278846,yy_xr_e_res,
yy_xr_e,2026,636.8514563,yy_xr_e_res,
yy_xr_e,2027,643.095098,yy_xr_e_res,
yy_xr_e,2028,643.095098,yy_xr_e_res,
yy_xr_e,2029,643.095098,yy_xr_e_res,
yy_r3m_e,2025,4.25,yy_r3m_e_res,
yy_r3m_e,2026,3.75,yy_r3m_e_res,
yy_r3m_e,2027,3.75,yy_r3m_e_res,
yy_r3m_e,2028,3.75,yy_r3m_e_res,
yy_r3m_e,2029,3.75,yy_r3m_e_res,
yy_cpi_e,2025,0.7,yy_cpi_e_res,pct
yy_cpi_e,2026,0.9,yy_cpi_e_res,pct
yy_cpi_e,2027,1,yy_cpi_e_res,pct
yy_cpi_e,2028,1.1,yy_cpi_e_res,pct
yy_cpi_e,2029,0.9,yy_cpi_e_res,pct
