NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_r3m,2024,5,yy_r3m_res,
yy_r3m,2025,4,yy_r3m_res,
yy_r3m,2026,4,yy_r3m_res,
yy_r3m,2027,4,yy_r3m_res,
yy_r3m,2028,4,yy_r3m_res,
yy_r3m,2029,4,yy_r3m_res,
yy_rl,2024,18.5,yy_rl_res,
yy_rl,2025,18,yy_rl_res,
yy_rl,2026,18,yy_rl_res,
yy_rl,2027,18,yy_rl_res,
yy_rl,2028,17.5,yy_rl_res,
yy_rl,2029,17,yy_rl_res,
yy_rd,2024,3.4,yy_rd_res,
yy_rd,2025,3.1,yy_rd_res,
yy_rd,2026,2.9,yy_rd_res,
yy_rd,2027,2.8,yy_rd_res,
yy_rd,2028,2.8,yy_rd_res,
yy_rd,2029,2.5,yy_rd_res,
