NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
rp,2028-Q4,3,rp_res,annual
rp,2029-Q4,3,rp_res,annual
rp,2026-Q1,3.5,rp_res,
rp,2026-Q4,3,rp_res,
rp,2025-Q4,3.75,rp_res,
rp,2026-Q2,3.25,rp_res,
rp,2026-Q3,3,rp_res,
rp,2027-Q1,3,rp_res,
rp,2027-Q2,3,rp_res,
rp,2027-Q3,3,rp_res,
rp,2027-Q4,3,rp_res,
rp,2028-Q1,3,rp_res,
rp,2028-Q2,3,rp_res,
rp,2028-Q3,3,rp_res,
rp,2030-Q4,3,rp_res,annual
r3m,2027-Q4,3.02,r3m_res,annual
r3m,2028-Q4,2.94,r3m_res,annual
r3m,2029-Q4,2.94,r3m_res,annual
r3m,2025-Q4,3.9,r3m_res,
r3m,2030-Q4,2.9,r3m_res,annual
r3m,2026-Q1,3.7,r3m_res,
r3m,2026-Q2,3.5,r3m_res,
r3m,2026-Q3,3.2,r3m_res,
r3m,2026-Q4,3.1,r3m_res,
r3m,2027-Q1,3,r3m_res,
r3m,2027-Q2,3,r3m_res,
r3m,2027-Q3,3,r3m_res,
r10y,2027-Q4,3.9,r10y_res,
r10y,2028-Q4,3.5,r10y_res,annual
r10y,2029-Q4,3.4,r10y_res,annual
r10y,2025-Q4,4.7,r10y_res,
r10y,2026-Q1,4.6,r10y_res,
r10y,2026-Q2,4.5,r10y_res,
r10y,2026-Q3,4.4,r10y_res,
r10y,2026-Q4,4.3,r10y_res,
r10y,2027-Q1,4.2,r10y_res,
r10y,2027-Q2,4.1,r10y_res,
r10y,2027-Q3,4,r10y_res,
r10y,2030-Q4,3.3,r10y_res,annual
rl,2026-Q4,5.75,rl_res,
rl,2028-Q4,5.2,rl_res,annual
rl,2029-Q4,5.2,rl_res,annual
rl,2025-Q4,6.7,rl_res,
rl,2026-Q1,6.5,rl_res,
rl,2026-Q2,6.3,rl_res,
rl,2026-Q3,6.05,rl_res,
rl,2030-Q4,5.2,rl_res,annual
rl,2027-Q1,5.4,rl_res,
rl,2027-Q2,5.2,rl_res,
rl,2027-Q3,5,rl_res,
rl,2027-Q4,5,rl_res,
rd,2024-Q1,5.39,rd_res,
rd,2024-Q2,5.3,rd_res,
rd,2024-Q3,5.14,rd_res,
rd,2024-Q4,5.05,rd_res,
rd,2026-Q4,3.3,rd_res,
rd,2027-Q4,3.1,rd_res,annual
rd,2028-Q4,3,rd_res,annual
rd,2029-Q4,3,rd_res,annual
rd,2025-Q1,4.6,rd_res,
rd,2025-Q2,4.4,rd_res,
rd,2025-Q3,4.2,rd_res,
rd,2025-Q4,4,rd_res,
rd,2030-Q4,3,rd_res,annual
rd,2026-Q1,3.8,rd_res,
rd,2026-Q2,3.6,rd_res,
rd,2026-Q3,3.4,rd_res,
