NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_gdp,2025,9.758789563,yy_gdp_res,pct
yy_gdp,2026,8.141924617,yy_gdp_res,pct
yy_gdp,2027,8.564375348,yy_gdp_res,pct
yy_gdp,2028,9.356585634,yy_gdp_res,pct
yy_gdp,2029,10.78930866,yy_gdp_res,pct
yy_pce_p,2025,2.214584373,yy_pce_p_res,pct
yy_pce_p,2026,2.768683258,yy_pce_p_res,pct
yy_pce_p,2027,3.290783675,yy_pce_p_res,pct
yy_pce_p,2028,3.725047222,yy_pce_p_res,pct
yy_pce_p,2029,4.270233641,yy_pce_p_res,pct
yy_gce_p,2025,7.775590551,yy_gce_p_res,pct
yy_gce_p,2026,7.317073171,yy_gce_p_res,pct
yy_gce_p,2027,6.725146199,yy_gce_p_res,pct
yy_gce_p,2028,6.725146199,yy_gce_p_res,pct
yy_gce_p,2029,6.725146199,yy_gce_p_res,pct
yy_gfcf_p,2025,2.214584373,yy_gfcf_p_res,pct
yy_gfcf_p,2026,2.768683258,yy_gfcf_p_res,pct
yy_gfcf_p,2027,3.290783675,yy_gfcf_p_res,pct
yy_gfcf_p,2028,3.725047222,yy_gfcf_p_res,pct
yy_gfcf_p,2029,4.270233641,yy_gfcf_p_res,pct
yy_stk,2025,2.664530333,yy_stk_res,
yy_stk,2026,2.504371778,yy_stk_res,
yy_stk,2027,2.385090037,yy_stk_res,
yy_stk,2028,2.517997383,yy_stk_res,
yy_stk,2029,2.469153066,yy_stk_res,
yy_xgs,2025,12.51067985,yy_xgs_res,pct
yy_xgs,2026,16.40684816,yy_xgs_res,pct
yy_xgs,2027,18.98822842,yy_xgs_res,pct
yy_xgs,2028,18.19397607,yy_xgs_res,pct
yy_xgs,2029,14.7750234,yy_xgs_res,pct
