NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_gdpp_r,2025,4.5,yy_gdpp_r_res,pct
yy_gdpp_r,2026,4.8,yy_gdpp_r_res,pct
yy_gdpp_r,2027,5,yy_gdpp_r_res,pct
yy_gdpp_r,2028,4.8,yy_gdpp_r_res,pct
yy_gdpp_r,2029,4.8,yy_gdpp_r_res,pct
yy_agri_r_ratio_gdpp_r,2025,6.460436841,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2026,6.250842516,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2027,6.048434282,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2028,5.863749266,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2029,5.684703487,yy_agri_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2025,21.28398205,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2026,21.18243634,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2027,21.0008726,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2028,20.86059959,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2029,20.72126353,yy_ind_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2025,66.52259524,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2026,68.55381952,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2027,70.51250008,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2028,72.66555351,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2029,74.88434904,yy_serv_r_ratio_gdpp_r_res,
yy_man_r_ratio_ind_r,2025,44.27368912,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2026,44.78307001,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2027,45.38533993,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2028,45.99570953,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2029,46.61428776,yy_man_r_ratio_ind_r_res,
yy_inp_r,2025,1,yy_inp_r_res,pct
yy_inp_r,2026,1,yy_inp_r_res,pct
yy_inp_r,2027,1,yy_inp_r_res,pct
yy_inp_r,2028,1,yy_inp_r_res,pct
yy_inp_r,2029,1,yy_inp_r_res,pct
