NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_rp_e,2024,27,yy_rp_e_res,
yy_rp_e,2025,21.5,yy_rp_e_res,
yy_rp_e,2026,17,yy_rp_e_res,
yy_rp_e,2027,15,yy_rp_e_res,
yy_rp_e,2028,14,yy_rp_e_res,
yy_rp_e,2029,14,yy_rp_e_res,
yy_rp_e,2030,14,yy_rp_e_res,
yy_r3m_e,2025,25.1375,yy_r3m_e_res,
yy_r3m_e,2026,20.8625,yy_r3m_e_res,
yy_r3m_e,2027,18.05,yy_r3m_e_res,
yy_r3m_e,2028,14.875,yy_r3m_e_res,
yy_r3m_e,2029,12.175,yy_r3m_e_res,
yy_r3m_e,2030,12,yy_r3m_e_res,
yy_xr_e,2025,12.43,yy_xr_e_res,
yy_xr_e,2026,12.63839328,yy_xr_e_res,
yy_xr_e,2027,12.75386945,yy_xr_e_res,
yy_xr_e,2029,15.5,yy_xr_e_res,
yy_xr_e,2028,14,yy_xr_e_res,
yy_xr_e,2030,16.2,yy_xr_e_res,
yy_cpi_e,2025,9.7,yy_cpi_e_res,pct
yy_cpi_e,2026,9.9,yy_cpi_e_res,pct
yy_cpi_e,2027,10.1,yy_cpi_e_res,pct
yy_cpi_e,2028,11,yy_cpi_e_res,pct
yy_cpi_e,2029,10.4,yy_cpi_e_res,pct
yy_cpi_e,2030,9,yy_cpi_e_res,pct
