NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_xgs_p,2025,11,yy_xgs_p_res,pct
yy_xgs_p,2026,-7,yy_xgs_p_res,pct
yy_xgs_p,2027,-1.8,yy_xgs_p_res,pct
yy_xgs_p,2028,2.1,yy_xgs_p_res,pct
yy_xgs_p,2029,3,yy_xgs_p_res,pct
yy_xgs_p,2030,3,yy_xgs_p_res,pct
yy_mgs_p,2025,-8.541286186,yy_mgs_p_res,pct
yy_mgs_p,2026,3.193472114,yy_mgs_p_res,pct
yy_mgs_p,2027,5.299414434,yy_mgs_p_res,pct
yy_mgs_p,2028,4.734838456,yy_mgs_p_res,pct
yy_mgs_p,2029,7.279935738,yy_mgs_p_res,pct
yy_mgs_p,2030,6,yy_mgs_p_res,pct
yy_xg_p,2024,35,yy_xg_p_res,pct
yy_xg_p,2025,13,yy_xg_p_res,pct
yy_xg_p,2026,1,yy_xg_p_res,pct
yy_xg_p,2027,1,yy_xg_p_res,pct
yy_xg_p,2028,5,yy_xg_p_res,pct
yy_xg_p,2029,5,yy_xg_p_res,pct
yy_xg_p,2030,5,yy_xg_p_res,pct
yy_mg_p,2024,23,yy_mg_p_res,pct
yy_mg_p,2025,1,yy_mg_p_res,pct
yy_mg_p,2026,5.3,yy_mg_p_res,pct
yy_mg_p,2027,4,yy_mg_p_res,pct
yy_mg_p,2028,5,yy_mg_p_res,pct
yy_mg_p,2029,7,yy_mg_p_res,pct
yy_mg_p,2030,5,yy_mg_p_res,pct
