NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_fdi_in_ratio_gdp,2025,2.3,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2026,2.17566,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2027,2.248426,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2028,2.352331,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2029,2.424948,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2030,2.3,yy_fdi_in_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2025,-1.4,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2026,-1.2,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2027,-1.4,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2028,-1.5,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2029,-1.3,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2030,-1,yy_fdi_out_ratio_gdp_res,
yy_fdi_in_stock_usd,2025,81.397,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2026,87.18,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2027,93.426,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2028,100.171,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2029,107.457,yy_fdi_in_stock_usd_res,
yy_fdi_in_stock_usd,2030,114.5,yy_fdi_in_stock_usd_res,
yy_fdi_out_stock_usd,2025,30,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2026,33,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2027,35,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2028,38,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2029,40,yy_fdi_out_stock_usd_res,
yy_fdi_out_stock_usd,2030,43,yy_fdi_out_stock_usd_res,
