NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_fdi_in_ratio_gdp,2025,1.496609705,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2026,1.507137656,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2027,1.512811723,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2028,1.5,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2029,1.5,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2030,1.5,yy_fdi_in_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2025,-0.536212,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2026,-0.506346,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2027,-0.460487,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2028,-0.42677,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2029,-0.409322,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2030,-0.4,yy_fdi_out_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2025,1.5,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2026,1.5,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2027,1.5,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2028,1.5,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2029,1.5,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2030,1.5,yy_fpi_in_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2025,-0.037179495,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2026,-0.034977389,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2027,-0.032805287,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2028,-0.030757413,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2029,-0.028813731,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2030,0,yy_fpi_out_ratio_gdp_res,
yy_reserves_fx_usd,2024,23.8342,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2025,29.5,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2026,30.5,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2027,31,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2028,31.5,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2029,32,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2030,32.5,yy_reserves_fx_usd_res,
yy_reserves_gold_usd,2024,0.5786,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2025,0.8,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2026,0.8,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2027,0.9,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2028,0.9,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2029,1,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2030,1,yy_reserves_gold_usd_res,
yy_cbfa_l_usd,2025,1.7,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2026,1.5,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2027,1.5,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2028,1.5,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2029,1.75,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2030,1.75,yy_cbfa_l_usd_res,
yy_cbfl_b_usd,2025,0.5,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2026,2,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2027,2,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2028,2,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2029,2.25,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2030,2.25,yy_cbfl_b_usd_res,
