NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_cpi,2025,1.8,yy_cpi_res,pct
yy_cpi,2026,3.2,yy_cpi_res,pct
yy_cpi,2027,3.3,yy_cpi_res,pct
yy_cpi,2028,3.4,yy_cpi_res,pct
yy_cpi,2029,3.5,yy_cpi_res,pct
yy_cpi,2030,3.5,yy_cpi_res,pct
yy_pce_r,2025,4.9,yy_pce_r_res,pct
yy_pce_r,2026,4.3,yy_pce_r_res,pct
yy_pce_r,2027,4,yy_pce_r_res,pct
yy_pce_r,2028,4,yy_pce_r_res,pct
yy_pce_r,2029,3.9,yy_pce_r_res,pct
yy_pce_r,2030,3.9,yy_pce_r_res,pct
yy_gce_r,2025,3.7,yy_gce_r_res,pct
yy_gce_r,2026,3.5,yy_gce_r_res,pct
yy_gce_r,2027,3.4,yy_gce_r_res,pct
yy_gce_r,2028,3.4,yy_gce_r_res,pct
yy_gce_r,2029,3.4,yy_gce_r_res,pct
yy_gce_r,2030,3.4,yy_gce_r_res,pct
yy_gfcf_r,2025,4,yy_gfcf_r_res,pct
yy_gfcf_r,2026,3.5,yy_gfcf_r_res,pct
yy_gfcf_r,2027,3.2,yy_gfcf_r_res,pct
yy_gfcf_r,2028,3,yy_gfcf_r_res,pct
yy_gfcf_r,2029,3,yy_gfcf_r_res,pct
yy_gfcf_r,2030,3.1,yy_gfcf_r_res,pct
yy_stk_r,2025,0.651,yy_stk_r_res,
yy_stk_r,2026,0.652,yy_stk_r_res,
yy_stk_r,2027,0.653,yy_stk_r_res,
yy_stk_r,2028,0.654,yy_stk_r_res,
yy_stk_r,2029,0.655,yy_stk_r_res,
yy_stk_r,2030,0.7,yy_stk_r_res,
yy_xgs_r,2025,1.558576388938084,yy_xgs_r_res,pct
yy_xgs_r,2026,2.124968672643332,yy_xgs_r_res,pct
yy_xgs_r,2027,2.22,yy_xgs_r_res,pct
yy_xgs_r,2028,2.375514762488634,yy_xgs_r_res,pct
yy_xgs_r,2029,2.6,yy_xgs_r_res,pct
yy_xgs_r,2030,2.6,yy_xgs_r_res,pct
yy_mgs_r,2025,6,yy_mgs_r_res,pct
yy_mgs_r,2027,4.8,yy_mgs_r_res,pct
yy_mgs_r,2028,4.5,yy_mgs_r_res,pct
yy_mgs_r,2029,4.1,yy_mgs_r_res,pct
yy_mgs_r,2026,5.5,yy_mgs_r_res,pct
yy_mgs_r,2030,4,yy_mgs_r_res,pct
yy_gdp_r,2025,3.8,yy_gdp_r_res,pct
yy_gdp_r,2026,3.4,yy_gdp_r_res,pct
yy_gdp_r,2027,3.6,yy_gdp_r_res,pct
yy_gdp_r,2028,3.5,yy_gdp_r_res,pct
yy_gdp_r,2029,3.5,yy_gdp_r_res,pct
yy_gdp_r,2030,3.4,yy_gdp_r_res,pct
yy_partrate,2025,64.7,yy_partrate_res,
yy_partrate,2026,64.6,yy_partrate_res,
yy_partrate,2027,64.6,yy_partrate_res,
yy_partrate,2028,64.5,yy_partrate_res,
yy_partrate,2029,64.5,yy_partrate_res,
yy_partrate,2030,64.5,yy_partrate_res,
yy_urate,2025,2.3,yy_urate_res,
yy_urate,2026,2.4,yy_urate_res,
yy_urate,2027,2.4,yy_urate_res,
yy_urate,2028,2.5,yy_urate_res,
yy_urate,2029,2.5,yy_urate_res,
yy_urate,2030,2.5,yy_urate_res,
yy_xr,2025,7.65,yy_xr_res,
yy_xr,2026,7.7,yy_xr_res,
yy_xr,2027,7.75,yy_xr_res,
yy_xr,2028,7.8,yy_xr_res,
yy_xr,2029,7.8,yy_xr_res,
yy_xr,2030,7.825,yy_xr_res,
yy_xg_r,2024,1.34383168,yy_xg_r_res,pct
yy_xg_r,2025,1.752423091,yy_xg_r_res,pct
yy_xg_r,2026,2.639317987,yy_xg_r_res,pct
yy_xg_r,2027,2.847346096,yy_xg_r_res,pct
yy_xg_r,2028,2.702369906,yy_xg_r_res,pct
yy_xg_r,2029,2.91,yy_xg_r_res,pct
yy_xg_r,2030,2.9,yy_xg_r_res,pct
