NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_health_cs,2024,5.9,yy_health_cs_res,pct
yy_health_cs,2025,4,yy_health_cs_res,pct
yy_health_cs,2026,3.6,yy_health_cs_res,pct
yy_health_cs,2027,6.8,yy_health_cs_res,pct
yy_health_cs,2028,6.8,yy_health_cs_res,pct
yy_health_cs,2029,4,yy_health_cs_res,pct
yy_health_doc,2022,2.1,yy_health_doc_res,
yy_health_doc,2023,2.12,yy_health_doc_res,
yy_health_doc,2024,2.14,yy_health_doc_res,
yy_health_doc,2025,2.16,yy_health_doc_res,
yy_health_doc,2026,2.18,yy_health_doc_res,
yy_health_doc,2027,2.2,yy_health_doc_res,
yy_health_doc,2028,2.22,yy_health_doc_res,
yy_health_doc,2029,2.24,yy_health_doc_res,
yy_health_es,2023,0.0,yy_health_es_res,
yy_health_es,2024,0.0,yy_health_es_res,
yy_health_es,2025,0.0,yy_health_es_res,
yy_health_es,2026,0.0,yy_health_es_res,
yy_health_es,2027,0.0,yy_health_es_res,
yy_health_es,2028,0.0,yy_health_es_res,
yy_health_es,2029,0.0,yy_health_es_res,
yy_health_gs_ratio_cs,2022,100.0,yy_health_gs_ratio_cs_res,
yy_health_gs_ratio_cs,2023,100.0,yy_health_gs_ratio_cs_res,
yy_health_gs_ratio_cs,2024,100.0,yy_health_gs_ratio_cs_res,
yy_health_gs_ratio_cs,2025,100.0,yy_health_gs_ratio_cs_res,
yy_health_gs_ratio_cs,2026,100.0,yy_health_gs_ratio_cs_res,
yy_health_gs_ratio_cs,2027,100.0,yy_health_gs_ratio_cs_res,
yy_health_gs_ratio_cs,2028,100.0,yy_health_gs_ratio_cs_res,
yy_health_gs_ratio_cs,2029,100.0,yy_health_gs_ratio_cs_res,
yy_health_hos,2023,0.23255814,yy_health_hos_res,pct
yy_health_hos,2024,0.232018561,yy_health_hos_res,pct
yy_health_hos,2025,0.231481481,yy_health_hos_res,pct
yy_health_hos,2026,0.0,yy_health_hos_res,pct
yy_health_hos,2027,0.230946882,yy_health_hos_res,pct
yy_health_hos,2028,0.230414747,yy_health_hos_res,pct
yy_health_hos,2029,0.229885057,yy_health_hos_res,pct
yy_health_oop_ratio_ps,2022,65.88626489,yy_health_oop_ratio_ps_res,
yy_health_oop_ratio_ps,2023,63.7,yy_health_oop_ratio_ps_res,
yy_health_oop_ratio_ps,2024,63.7,yy_health_oop_ratio_ps_res,
yy_health_oop_ratio_ps,2025,63.6,yy_health_oop_ratio_ps_res,
yy_health_oop_ratio_ps,2026,63.6,yy_health_oop_ratio_ps_res,
yy_health_oop_ratio_ps,2027,63.5,yy_health_oop_ratio_ps_res,
yy_health_oop_ratio_ps,2028,63.4,yy_health_oop_ratio_ps_res,
yy_health_oop_ratio_ps,2029,63.4,yy_health_oop_ratio_ps_res,
yy_health_phsl,2012,6.328607359,yy_health_phsl_res,pct
yy_health_phsl,2013,7.150861339,yy_health_phsl_res,pct
yy_health_phsl,2014,5.976786474,yy_health_phsl_res,pct
yy_health_phsl,2015,6.348572546,yy_health_phsl_res,pct
yy_health_phsl,2016,5.989058672,yy_health_phsl_res,pct
yy_health_phsl,2017,6.535464722,yy_health_phsl_res,pct
yy_health_phsl,2018,7.931216281,yy_health_phsl_res,pct
yy_health_phsl,2019,3.031570432,yy_health_phsl_res,pct
yy_health_phsl,2020,-4.66013459,yy_health_phsl_res,pct
yy_health_phsl,2021,10.15220042,yy_health_phsl_res,pct
yy_health_phsl,2022,1.918660353,yy_health_phsl_res,pct
yy_health_phsl,2023,6.67345986,yy_health_phsl_res,pct
yy_health_phsl,2024,3.837870905,yy_health_phsl_res,pct
yy_health_phsl,2025,5.039924167,yy_health_phsl_res,pct
yy_health_phsl,2026,4.137187698,yy_health_phsl_res,pct
yy_health_phsl,2027,4.162712167,yy_health_phsl_res,pct
yy_health_phsl,2028,5.604559675,yy_health_phsl_res,pct
yy_health_phsl,2029,5.179233885,yy_health_phsl_res,pct
yy_health_ps,2024,3,yy_health_ps_res,pct
yy_health_ps,2025,2.6,yy_health_ps_res,pct
yy_health_ps,2026,2,yy_health_ps_res,pct
yy_health_ps,2027,2.8,yy_health_ps_res,pct
yy_health_ps,2028,3.6,yy_health_ps_res,pct
yy_health_ps,2029,4.4,yy_health_ps_res,pct
yy_md_drme,2008,3.001775821,yy_md_drme_res,pct
yy_md_drme,2009,-2.989001426,yy_md_drme_res,pct
yy_md_drme,2010,6.443103279,yy_md_drme_res,pct
yy_md_drme,2011,8.079970296,yy_md_drme_res,pct
yy_md_drme,2012,4.525864866,yy_md_drme_res,pct
yy_md_drme,2013,3.159436816,yy_md_drme_res,pct
yy_md_drme,2014,3.738496026,yy_md_drme_res,pct
yy_md_drme,2015,4.078552356,yy_md_drme_res,pct
yy_md_drme,2016,2.051438796,yy_md_drme_res,pct
yy_md_drme,2017,6.590001753,yy_md_drme_res,pct
yy_md_drme,2018,4.325255792,yy_md_drme_res,pct
yy_md_drme,2019,0.325866532,yy_md_drme_res,pct
yy_md_drme,2020,-3.588589831,yy_md_drme_res,pct
yy_md_drme,2021,5.965450538,yy_md_drme_res,pct
yy_md_drme,2022,-1.823329916,yy_md_drme_res,pct
yy_md_drme,2023,4.964721708,yy_md_drme_res,pct
yy_md_drme,2024,5.371928227,yy_md_drme_res,pct
yy_md_drme,2025,4.202396748,yy_md_drme_res,pct
yy_md_drme,2026,1.897407025,yy_md_drme_res,pct
yy_md_drme,2027,1.168453377,yy_md_drme_res,pct
yy_md_drme,2028,4.919007282,yy_md_drme_res,pct
yy_md_drme,2029,2.558884086,yy_md_drme_res,pct
yy_md_hese,2008,4.828883159,yy_md_hese_res,pct
yy_md_hese,2009,-1.056166677,yy_md_hese_res,pct
yy_md_hese,2010,7.969668038,yy_md_hese_res,pct
yy_md_hese,2011,9.299186948,yy_md_hese_res,pct
yy_md_hese,2012,6.06811812,yy_md_hese_res,pct
yy_md_hese,2013,4.275739199,yy_md_hese_res,pct
yy_md_hese,2014,4.431659931,yy_md_hese_res,pct
yy_md_hese,2015,4.853339014,yy_md_hese_res,pct
yy_md_hese,2016,2.762132734,yy_md_hese_res,pct
yy_md_hese,2017,7.99347853,yy_md_hese_res,pct
