NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_fdi_in_ratio_gdp,2025,2,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2026,2.4,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2027,3.5,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2028,3.5,yy_fdi_in_ratio_gdp_res,
yy_fdi_in_ratio_gdp,2029,3.5,yy_fdi_in_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2025,-1,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2026,-1,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2027,-1,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2028,-1,yy_fdi_out_ratio_gdp_res,
yy_fdi_out_ratio_gdp,2029,-1,yy_fdi_out_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2025,0.3,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2026,0.3,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2027,0.3,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2028,0.3,yy_fpi_in_ratio_gdp_res,
yy_fpi_in_ratio_gdp,2029,0.3,yy_fpi_in_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2025,-0.2,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2026,-0.2,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2027,-0.2,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2028,-0.2,yy_fpi_out_ratio_gdp_res,
yy_fpi_out_ratio_gdp,2029,-0.2,yy_fpi_out_ratio_gdp_res,
yy_reserves_fx_usd,2024,7.9782,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2025,8.7,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2026,10,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2027,10,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2028,10.3,yy_reserves_fx_usd_res,
yy_reserves_fx_usd,2029,10.7,yy_reserves_fx_usd_res,
yy_reserves_gold_usd,2024,0.0586,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2025,0.070196916,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2026,0.08876677,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2027,0.115996514,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2028,0.153024722,yy_reserves_gold_usd_res,
yy_reserves_gold_usd,2029,0.208370677,yy_reserves_gold_usd_res,
yy_cbfa_l_usd,2025,0.003560063,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2026,0.005827621,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2027,0.005953059,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2028,0.006067251,yy_cbfa_l_usd_res,
yy_cbfa_l_usd,2029,0.006041908,yy_cbfa_l_usd_res,
yy_cbfl_b_usd,2025,-0.010087841,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2026,-0.003456264,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2027,-0.006255106,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2028,-0.00311336,yy_cbfl_b_usd_res,
yy_cbfl_b_usd,2029,-0.003373882,yy_cbfl_b_usd_res,
