NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
cpi,2025-Q4,1,cpi_res,pct
cpi,2026-Q4,0.6,cpi_res,pct
cpi,2027-Q4,0.6,cpi_res,pct
cpi,2028-Q4,2.4,cpi_res,annual_pct
cpi,2029-Q4,2.3,cpi_res,annual_pct
cpi,2025-Q3,1.2,cpi_res,pct
cpi,2026-Q1,0.7,cpi_res,pct
cpi,2026-Q2,0.7,cpi_res,pct
cpi,2026-Q3,0.6,cpi_res,pct
cpi,2027-Q1,0.6,cpi_res,pct
cpi,2027-Q2,0.7,cpi_res,pct
cpi,2027-Q3,0.6,cpi_res,pct
cpi,2030-Q4,2.3,cpi_res,annual_pct
ppi,2025-Q4,0.4,ppi_res,pct
ppi,2026-Q4,0.2,ppi_res,pct
ppi,2027-Q4,0.3,ppi_res,pct
ppi,2028-Q4,1.255814671,ppi_res,annual_pct
ppi,2029-Q4,1.104609008,ppi_res,annual_pct
ppi,2025-Q3,0.9,ppi_res,pct
ppi,2026-Q1,0,ppi_res,pct
ppi,2026-Q2,0,ppi_res,pct
ppi,2026-Q3,0.1,ppi_res,pct
ppi,2027-Q1,0.3,ppi_res,pct
ppi,2027-Q2,0.3,ppi_res,pct
ppi,2027-Q3,0.3,ppi_res,pct
pce_r,2025-Q4,0.8,pce_r_res,pct
pce_r,2026-Q4,0.3,pce_r_res,pct
pce_r,2027-Q4,0.7,pce_r_res,pct
pce_r,2028-Q4,2.7,pce_r_res,annual_pct
pce_r,2029-Q4,3,pce_r_res,annual_pct
pce_r,2025-Q3,1.1,pce_r_res,pct
pce_r,2026-Q1,0.4,pce_r_res,pct
pce_r,2026-Q2,0.2,pce_r_res,pct
pce_r,2026-Q3,0.1,pce_r_res,pct
pce_r,2027-Q1,1.2,pce_r_res,pct
pce_r,2027-Q2,1,pce_r_res,pct
pce_r,2027-Q3,0.9,pce_r_res,pct
gce_r,2025-Q4,1,gce_r_res,pct
gce_r,2026-Q4,0.5,gce_r_res,pct
gce_r,2027-Q4,0.5,gce_r_res,pct
gce_r,2028-Q4,2,gce_r_res,annual_pct
gce_r,2029-Q4,2.2,gce_r_res,annual_pct
gce_r,2026-Q1,0.7,gce_r_res,pct
gce_r,2026-Q2,0.7,gce_r_res,pct
gce_r,2026-Q3,0.6,gce_r_res,pct
gce_r,2025-Q3,1,gce_r_res,pct
gce_r,2027-Q1,0.4,gce_r_res,pct
gce_r,2027-Q2,0.5,gce_r_res,pct
gce_r,2027-Q3,0.5,gce_r_res,pct
gfcf_r,2025-Q4,0.7,gfcf_r_res,pct
gfcf_r,2026-Q4,0.8,gfcf_r_res,pct
gfcf_r,2027-Q4,0.9,gfcf_r_res,pct
gfcf_r,2028-Q4,3.4,gfcf_r_res,annual_pct
gfcf_r,2029-Q4,3.4,gfcf_r_res,annual_pct
gfcf_r,2025-Q3,0.8,gfcf_r_res,pct
gfcf_r,2026-Q1,0.5,gfcf_r_res,pct
gfcf_r,2026-Q2,0.7,gfcf_r_res,pct
gfcf_r,2026-Q3,0.7,gfcf_r_res,pct
gfcf_r,2027-Q1,1,gfcf_r_res,pct
gfcf_r,2027-Q2,1.1,gfcf_r_res,pct
gfcf_r,2027-Q3,1,gfcf_r_res,pct
stk_r,2025-Q4,-0.1,stk_r_res,
stk_r,2026-Q4,0,stk_r_res,annual
stk_r,2027-Q4,0,stk_r_res,annual
stk_r,2028-Q4,0,stk_r_res,annual
stk_r,2029-Q4,0,stk_r_res,annual
stk_r,2025-Q3,-0.1,stk_r_res,
stk_r,2026-Q1,0,stk_r_res,
stk_r,2026-Q2,0,stk_r_res,
stk_r,2026-Q3,0,stk_r_res,
stk_r,2027-Q1,0,stk_r_res,
stk_r,2027-Q2,0,stk_r_res,
stk_r,2027-Q3,0,stk_r_res,
xg_r,2025-Q4,1,xg_r_res,pct
xg_r,2026-Q4,1.5,xg_r_res,pct
xg_r,2027-Q4,0.7,xg_r_res,pct
xg_r,2028-Q4,4.1,xg_r_res,annual_pct
xg_r,2025-Q3,-3,xg_r_res,pct
xg_r,2026-Q1,2,xg_r_res,pct
xg_r,2026-Q2,2,xg_r_res,pct
xg_r,2026-Q3,2,xg_r_res,pct
xg_r,2029-Q4,4.2,xg_r_res,annual_pct
xg_r,2027-Q1,0.7,xg_r_res,pct
xg_r,2027-Q2,0.8,xg_r_res,pct
xg_r,2027-Q3,0.7,xg_r_res,pct
mg_r,2025-Q4,1.5,mg_r_res,pct
mg_r,2026-Q4,1.3,mg_r_res,pct
mg_r,2027-Q4,0.9,mg_r_res,pct
mg_r,2028-Q4,3.9,mg_r_res,annual_pct
mg_r,2025-Q3,1.5,mg_r_res,pct
mg_r,2026-Q1,1.5,mg_r_res,pct
mg_r,2026-Q2,1.5,mg_r_res,pct
mg_r,2026-Q3,1.6,mg_r_res,pct
mg_r,2029-Q4,4.5,mg_r_res,annual_pct
mg_r,2027-Q1,1,mg_r_res,pct
mg_r,2027-Q2,1,mg_r_res,pct
mg_r,2027-Q3,0.9,mg_r_res,pct
urate,2025-Q4,5.061529269,urate_res,annual
urate,2026-Q4,4.8,urate_res,
urate,2027-Q4,4.63820168,urate_res,annual
urate,2028-Q4,4.5388803,urate_res,annual
urate,2029-Q4,4.493940891,urate_res,annual
urate,2025-Q3,5.1,urate_res,
urate,2026-Q1,5,urate_res,
urate,2026-Q2,4.9,urate_res,
urate,2026-Q3,4.9,urate_res,
urate,2030-Q4,4.6,urate_res,annual
urate,2027-Q1,4.7,urate_res,
urate,2027-Q2,4.7,urate_res,
urate,2027-Q3,4.6,urate_res,
xs_r,2025-Q4,0.6,xs_r_res,pct
xs_r,2026-Q4,1,xs_r_res,pct
xs_r,2027-Q4,1,xs_r_res,pct
xs_r,2028-Q4,4.1,xs_r_res,annual_pct
xs_r,2029-Q4,4.4,xs_r_res,annual_pct
xs_r,2025-Q3,0.4,xs_r_res,pct
xs_r,2026-Q1,0.9,xs_r_res,pct
xs_r,2026-Q2,0.9,xs_r_res,pct
xs_r,2026-Q3,1,xs_r_res,pct
xs_r,2027-Q1,1.1,xs_r_res,pct
xs_r,2027-Q2,1.1,xs_r_res,pct
xs_r,2027-Q3,1,xs_r_res,pct
