NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
cpi,2026-Q4,0.3,cpi_res,pct
cpi,2027-Q4,3.009440105,cpi_res,annual_pct
cpi,2028-Q4,2.93043572,cpi_res,annual_pct
cpi,2029-Q4,2.93043572,cpi_res,annual_pct
cpi,2025-Q3,0.8,cpi_res,pct
cpi,2025-Q4,0.6,cpi_res,pct
cpi,2026-Q1,1.7,cpi_res,pct
cpi,2026-Q2,0.7,cpi_res,pct
cpi,2026-Q3,0.4,cpi_res,pct
ppi,2027-Q4,2.51,ppi_res,annual_pct
ppi,2028-Q4,2.422717002,ppi_res,annual_pct
ppi,2029-Q4,2.4,ppi_res,annual_pct
ppi,2025-Q3,-0.1,ppi_res,pct
ppi,2025-Q4,0.59,ppi_res,pct
ppi,2026-Q1,1,ppi_res,pct
ppi,2026-Q2,0.6,ppi_res,pct
ppi,2026-Q3,0.3,ppi_res,pct
ppi,2026-Q4,0.3,ppi_res,pct
pce_r,2025-Q4,0.8,pce_r_res,pct
pce_r,2026-Q4,0.8,pce_r_res,pct
pce_r,2028-Q4,3,pce_r_res,annual_pct
pce_r,2029-Q4,3,pce_r_res,annual_pct
pce_r,2025-Q3,1,pce_r_res,pct
pce_r,2026-Q1,1,pce_r_res,pct
pce_r,2026-Q2,0.9,pce_r_res,pct
pce_r,2026-Q3,0.9,pce_r_res,pct
pce_r,2027-Q1,0.8,pce_r_res,pct
pce_r,2027-Q2,0.8,pce_r_res,pct
pce_r,2027-Q3,0.8,pce_r_res,pct
pce_r,2027-Q4,0.8,pce_r_res,pct
gce_r,2025-Q4,0.67,gce_r_res,pct
gce_r,2026-Q4,0.5,gce_r_res,pct
gce_r,2028-Q4,1.7,gce_r_res,annual_pct
gce_r,2029-Q4,1.7,gce_r_res,annual_pct
gce_r,2025-Q3,0.66,gce_r_res,pct
gce_r,2026-Q1,1,gce_r_res,pct
gce_r,2026-Q2,0.5,gce_r_res,pct
gce_r,2026-Q3,0.5,gce_r_res,pct
