NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
xg_p_usd,2025-Q3,3.2,xg_p_usd_res,pct
xg_p_usd,2025-Q4,1,xg_p_usd_res,pct
xg_p_usd,2026-Q1,-0.7,xg_p_usd_res,pct
xg_p_usd,2026-Q2,-0.6,xg_p_usd_res,pct
xg_p_usd,2026-Q3,-1.5,xg_p_usd_res,pct
xg_p_usd,2026-Q4,-0.6,xg_p_usd_res,pct
xg_p_usd,2027-Q3,0.5,xg_p_usd_res,pct
xg_p_usd,2027-Q4,0.5,xg_p_usd_res,pct
xg_p_usd,2027-Q2,0.7,xg_p_usd_res,pct
mg_p_usd,2026-Q1,0,mg_p_usd_res,pct
mg_p_usd,2027-Q1,0.9,mg_p_usd_res,pct
mg_p_usd,2027-Q2,0.8,mg_p_usd_res,pct
mg_p_usd,2027-Q3,0.6,mg_p_usd_res,pct
xs_p,2025-Q4,0.4,xs_p_res,pct
xs_p,2025-Q3,0.5,xs_p_res,pct
xs_p,2028-Q4,2.3,xs_p_res,annual_pct
xs_p,2029-Q4,2.3,xs_p_res,annual_pct
ms_p_usd,2025-Q3,8.5,ms_p_usd_res,pct
