NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ptax_res,2025,0.2,,
yy_ptax_res,2026,0,,
yy_ptax_res,2027,0,,
yy_ptax_res,2028,0,,
yy_ptax_res,2029,0,,
yy_ntax_ratio_gdp,2025,2.4,yy_ntax_ratio_gdp_res,
yy_ntax_ratio_gdp,2026,2.4,yy_ntax_ratio_gdp_res,
yy_ntax_ratio_gdp,2027,2.45,yy_ntax_ratio_gdp_res,
yy_ntax_ratio_gdp,2028,2.6,yy_ntax_ratio_gdp_res,
yy_ntax_ratio_gdp,2029,2.5,yy_ntax_ratio_gdp_res,
yy_ntax_ratio_gdp,2030,2.5,yy_ntax_ratio_gdp_res,
yy_brel_oth_ratio_gdp,2025,0.1,yy_brel_oth_ratio_gdp_res,
yy_brel_oth_ratio_gdp,2026,0.2,yy_brel_oth_ratio_gdp_res,
yy_brel_oth_ratio_gdp,2027,0.2,yy_brel_oth_ratio_gdp_res,
yy_brel_oth_ratio_gdp,2028,0.2,yy_brel_oth_ratio_gdp_res,
yy_brel_oth_ratio_gdp,2029,0.2,yy_brel_oth_ratio_gdp_res,
yy_brel_oth_ratio_gdp,2030,0.2,yy_brel_oth_ratio_gdp_res,
yy_capex_ratio_gdp,2025,1.52,yy_capex_ratio_gdp_res,
yy_capex_ratio_gdp,2026,1.48,yy_capex_ratio_gdp_res,
yy_capex_ratio_gdp,2027,1.43,yy_capex_ratio_gdp_res,
yy_capex_ratio_gdp,2028,1.35,yy_capex_ratio_gdp_res,
yy_capex_ratio_gdp,2029,1.4,yy_capex_ratio_gdp_res,
yy_capex_ratio_gdp,2030,1.4,yy_capex_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2025,12,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2026,12.2,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2027,12.3,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2028,12.5,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2029,12.4,yy_bexl_oth_ratio_gdp_res,
yy_bexl_oth_ratio_gdp,2030,12.4,yy_bexl_oth_ratio_gdp_res,
yy_efir,2025,5.1,yy_efir_res,
yy_efir,2026,4.8,yy_efir_res,
yy_efir,2027,4.6,yy_efir_res,
yy_efir,2028,4.6,yy_efir_res,
yy_efir,2029,4.5,yy_efir_res,
yy_efir,2030,4.5,yy_efir_res,
yy_pudl_reval,2025,1.5,yy_pudl_reval_res,
yy_pudl_reval,2026,1.5,yy_pudl_reval_res,
yy_pudl_reval,2027,1.5,yy_pudl_reval_res,
yy_pudl_reval,2028,1.5,yy_pudl_reval_res,
yy_pudl_reval,2029,1.5,yy_pudl_reval_res,
yy_pudl_reval,2030,1.5,yy_pudl_reval_res,
