NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_wage_r,2024,1.1,yy_wage_r_res,pct
yy_wage_r,2025,1.9,yy_wage_r_res,pct
yy_wage_r,2026,2,yy_wage_r_res,pct
yy_wage_r,2027,2,yy_wage_r_res,pct
yy_wage_r,2028,2,yy_wage_r_res,pct
yy_wage_r,2029,2,yy_wage_r_res,pct
yy_wage_r,2030,2.1,yy_wage_r_res,pct
yy_ulc_res,2024,0,,
yy_ulc_res,2025,0,,
yy_ulc_res,2026,0,,
yy_ulc_res,2027,0,,
yy_ulc_res,2028,0,,
yy_ulc_res,2029,0,,
yy_lcph_res,2024,0.025926238,,
yy_lcph_res,2025,-1.57E-08,,
yy_lcph_res,2026,2.13E-08,,
yy_lcph_res,2027,2.38E-08,,
yy_lcph_res,2028,-5.01E-08,,
yy_lcph_res,2029,0,,
