NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_sdc,2025,12.2,yy_sdc_res,pct
yy_sdc,2026,-3.5,yy_sdc_res,pct
yy_sdc,2027,-17,yy_sdc_res,pct
yy_sdc,2028,-8.4,yy_sdc_res,pct
yy_sdc,2029,3.9,yy_sdc_res,pct
yy_sdc,2030,5.6,yy_sdc_res,pct
yy_mss,2025,2,yy_mss_res,pct
yy_mss,2026,4.4,yy_mss_res,pct
yy_mss,2027,5.7,yy_mss_res,pct
yy_mss,2028,10.3,yy_mss_res,pct
yy_mss,2029,6.9,yy_mss_res,pct
yy_mss,2030,5.2,yy_mss_res,pct
yy_mst,2025,2.8,yy_mst_res,pct
yy_mst,2026,5.6,yy_mst_res,pct
yy_mst,2027,5.508255859863542,yy_mst_res,pct
yy_mst,2028,9.377220013471069,yy_mst_res,pct
yy_mst,2029,7.1,yy_mst_res,pct
yy_mst,2030,6.5,yy_mst_res,pct
