NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_agri_r_ratio_gdpp_r,2025,4.4,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2026,3.2,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2027,3,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2028,2.8,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2029,2.7,yy_agri_r_ratio_gdpp_r_res,
yy_agri_r_ratio_gdpp_r,2030,2.5,yy_agri_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2025,62.9,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2026,63.8,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2027,63.9,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2028,65.2,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2029,66,yy_ind_r_ratio_gdpp_r_res,
yy_ind_r_ratio_gdpp_r,2030,66.4,yy_ind_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2025,32.7,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2026,33,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2027,33.1,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2028,32,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2029,31.3,yy_serv_r_ratio_gdpp_r_res,
yy_serv_r_ratio_gdpp_r,2030,31.1,yy_serv_r_ratio_gdpp_r_res,
yy_man_r_ratio_ind_r,2025,3.9,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2026,2.8,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2027,2.7,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2028,1.751563814,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2029,2,yy_man_r_ratio_ind_r_res,
yy_man_r_ratio_ind_r,2030,2.1,yy_man_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2025,86.4,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2026,89,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2027,90.2,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2028,91.7,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2029,91.9,yy_min_r_ratio_ind_r_res,
yy_min_r_ratio_ind_r,2030,92.4,yy_min_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2025,7.9,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2026,6.6,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2027,5.7,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2028,5.314786481,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2029,4.6,yy_cons_r_ratio_ind_r_res,
yy_cons_r_ratio_ind_r,2030,4,yy_cons_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2025,1.8,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2026,1.640423977,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2027,1.4,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2028,1.2,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2029,1.5,yy_util_r_ratio_ind_r_res,
yy_util_r_ratio_ind_r,2030,1.9,yy_util_r_ratio_ind_r_res,
