NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_gdp,2025,36.7775167,yy_gdp_res,pct
yy_gdp,2026,32.69973267,yy_gdp_res,pct
yy_gdp,2027,28.17789071,yy_gdp_res,pct
yy_gdp,2028,25.47265007,yy_gdp_res,pct
yy_gdp,2029,23.17899432,yy_gdp_res,pct
yy_pce_p,2025,40,yy_pce_p_res,pct
yy_pce_p,2026,30,yy_pce_p_res,pct
yy_pce_p,2027,25,yy_pce_p_res,pct
yy_pce_p,2028,22,yy_pce_p_res,pct
yy_pce_p,2029,20,yy_pce_p_res,pct
yy_gce_p,2025,40,yy_gce_p_res,pct
yy_gce_p,2026,30,yy_gce_p_res,pct
yy_gce_p,2027,25,yy_gce_p_res,pct
yy_gce_p,2028,22,yy_gce_p_res,pct
yy_gce_p,2029,20,yy_gce_p_res,pct
yy_gfcf_p,2025,38,yy_gfcf_p_res,pct
yy_gfcf_p,2026,30,yy_gfcf_p_res,pct
yy_gfcf_p,2027,25,yy_gfcf_p_res,pct
yy_gfcf_p,2028,22,yy_gfcf_p_res,pct
yy_gfcf_p,2029,20,yy_gfcf_p_res,pct
yy_stk,2025,11302327.05,yy_stk_res,
yy_stk,2026,11867443.4,yy_stk_res,
yy_stk,2027,12460815.57,yy_stk_res,
yy_stk,2028,13083856.35,yy_stk_res,
yy_stk,2029,13738049.17,yy_stk_res,
