NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_ca_xi_ratio_gdp,2025,3.5,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2026,3.797468693,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2027,4,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2028,3.853562563,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2029,4,yy_ca_xi_ratio_gdp_res,
yy_ca_xi_ratio_gdp,2030,4,yy_ca_xi_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2025,1,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2026,-0.575388482,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2027,0.1,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2028,-1,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2029,-1,yy_ca_xi2_ratio_gdp_res,
yy_ca_xi2_ratio_gdp,2030,-1,yy_ca_xi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2025,-2.154995034,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2026,-2.154995034,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2027,-2.154995034,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2028,-2.154995034,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2029,-2.154995034,yy_ca_mi2_ratio_gdp_res,
yy_ca_mi2_ratio_gdp,2030,-2.5,yy_ca_mi2_ratio_gdp_res,
yy_xg_fob_usd,2025,3.830447256,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2026,-3.346351325,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2027,-1.781633003,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2028,-2.14860798,yy_xg_fob_usd_res,pct
yy_xg_fob_usd,2029,-24.55477563,yy_xg_fob_usd_res,pct
yy_mg_cif_usd,2025,-8.597522515,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2026,-4.758765706,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2027,-4.020671837,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2028,-3.61954025,yy_mg_cif_usd_res,pct
yy_mg_cif_usd,2029,-23.01239214,yy_mg_cif_usd_res,pct
yy_ca_mi_net_ratio_gdp,2025,-0.1,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2026,0.741267124,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2027,0.384907374,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2028,-0.018698434,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2029,-0.25896056,yy_ca_mi_net_ratio_gdp_res,
yy_ca_mi_net_ratio_gdp,2030,-0.5,yy_ca_mi_net_ratio_gdp_res,
