NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_xgs_p,2025,-0.8,yy_xgs_p_res,pct
yy_xgs_p,2026,2,yy_xgs_p_res,pct
yy_xgs_p,2027,2,yy_xgs_p_res,pct
yy_xgs_p,2028,2.4,yy_xgs_p_res,pct
yy_xgs_p,2029,3,yy_xgs_p_res,pct
yy_mgs_p,2025,-1,yy_mgs_p_res,pct
yy_mgs_p,2026,-6,yy_mgs_p_res,pct
yy_mgs_p,2027,-0.9,yy_mgs_p_res,pct
yy_mgs_p,2028,0.5,yy_mgs_p_res,pct
yy_mgs_p,2029,0.4,yy_mgs_p_res,pct
yy_xg_p,2025,-0.8,yy_xg_p_res,pct
yy_xg_p,2026,2,yy_xg_p_res,pct
yy_xg_p,2027,2,yy_xg_p_res,pct
yy_xg_p,2028,2.4,yy_xg_p_res,pct
yy_xg_p,2029,3,yy_xg_p_res,pct
yy_mg_p,2025,-1,yy_mg_p_res,pct
yy_mg_p,2026,-6,yy_mg_p_res,pct
yy_mg_p,2027,-0.9,yy_mg_p_res,pct
yy_mg_p,2028,0.5,yy_mg_p_res,pct
yy_mg_p,2029,0.4,yy_mg_p_res,pct
