NAME,DATE,VALUE,ENDOGENIZE,TRANSFORM
yy_xg_p,2024,1.4,yy_xg_p_res,pct
yy_xg_p,2025,1.8,yy_xg_p_res,pct
yy_xg_p,2026,2,yy_xg_p_res,pct
yy_xg_p,2027,2.2,yy_xg_p_res,pct
yy_xg_p,2028,1.5,yy_xg_p_res,pct
yy_xg_p,2029,2.1,yy_xg_p_res,pct
yy_xg_p,2030,1.4,yy_xg_p_res,pct
yy_mg_p,2024,0.3,yy_mg_p_res,pct
yy_mg_p,2025,-2.2,yy_mg_p_res,pct
yy_mg_p,2026,-3.1,yy_mg_p_res,pct
yy_mg_p,2027,1.3,yy_mg_p_res,pct
yy_mg_p,2028,1.1,yy_mg_p_res,pct
yy_mg_p,2029,0.8,yy_mg_p_res,pct
yy_mg_p,2030,0.5,yy_mg_p_res,pct
yy_xgs_p,2025,1.8,yy_xgs_p_res,pct
yy_xgs_p,2026,2,yy_xgs_p_res,pct
yy_xgs_p,2027,2.2,yy_xgs_p_res,pct
yy_xgs_p,2028,1.5,yy_xgs_p_res,pct
yy_xgs_p,2029,2.1,yy_xgs_p_res,pct
yy_xgs_p,2030,1.4,yy_xgs_p_res,pct
yy_mgs_p,2025,-2.2,yy_mgs_p_res,pct
yy_mgs_p,2026,-3.1,yy_mgs_p_res,pct
yy_mgs_p,2027,1.3,yy_mgs_p_res,pct
yy_mgs_p,2028,1.1,yy_mgs_p_res,pct
yy_mgs_p,2029,0.8,yy_mgs_p_res,pct
yy_mgs_p,2030,0.5,yy_mgs_p_res,pct
